Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17336743,1,8
17336743,2,8
17336749,1,96
17336749,2,96
17336752,1,99
17336752,2,96
17336755,1,96
17336755,2,8
17336763,1,96
17336773,1,99
17336774,1,99
17336774,2,96
17336775,1,96
17336775,2,96
17336776,1,96
17336778,1,96
17336778,2,96
17336781,1,96
17336781,2,96
17336783,1,96
17336783,2,96
17336783,3,96
17336785,1,96
17336785,2,96
17336785,3,96
17336788,1,8
17336789,1,96
17336789,2,8
17336790,1,96
17336790,2,96
17336791,1,96
17336791,2,96
17336792,1,96
17336792,2,96
17336793,1,96
17336793,2,96
17336794,1,98
17336794,2,96
17336795,1,96
17336795,2,96
17336796,1,96
17336796,2,96
17336799,1,96
17336799,2,96
17336801,1,96
17336801,2,96
17336802,1,96
17336809,1,96
17336809,2,96
17336811,1,99
17336811,2,96
17336811,3,96
17336811,4,96
17336812,1,99
17336815,1,8
17336815,2,96
17336817,1,96
17336817,2,96
17336819,1,96
17336824,1,96
17336824,2,99
17336826,1,96
17336837,1,99
17336838,1,96
17336841,1,96
17336842,1,96
17336842,2,96
17336844,1,96
17336846,1,96
17336847,1,96
17336847,2,96
17336848,1,96
17336848,3,96
17336850,1,96
17336850,2,96
17336851,1,96
17336854,1,96
17336854,2,3
17336854,2,6
17336857,1,8
17336857,2,99
17336862,1,3
17336862,2,96
17336863,1,99
17336863,2,96
17336866,1,96
17336867,1,99
17336868,1,96
17336868,2,96
17336869,1,96
17336869,2,96
17336870,1,99
17336870,2,96
17336871,1,99
17336876,1,96
17336876,2,96
17336877,1,96
17336877,2,96
17336880,1,96
17336880,2,96
17336881,1,4
17336881,3,96
17336881,4,96
17336882,1,96
17336882,2,96
17336882,3,99
17336884,1,96
17336884,2,96
17336885,1,96
17336885,2,8
17336887,1,8
17336888,1,99
17336890,1,99
17336890,2,96
17336894,1,96
17336895,1,96
17336895,2,96
17336897,1,96
17336897,2,99
17336903,1,99
17336903,2,96
17336905,1,96
17336906,1,96
17336906,2,96
17336906,3,96
17336910,1,96
17336910,2,96
17336913,1,96
17336913,2,96
17336916,1,96
17336916,2,96
17336925,1,96
17336925,2,96
17336926,1,96
17336926,2,96
17336926,3,96
17336928,1,96
17336930,1,8
17336930,2,96
17336931,1,8
17336931,2,8
17336938,1,96
17336938,2,96
17336939,1,98
17336939,2,96
17336939,3,96
17336940,1,96
17336958,1,96
17336958,2,96
17336964,1,99
17336964,2,96
17336966,1,96
17336966,2,96
17336967,1,96
17336967,2,96
17336973,1,96
17336974,1,96
17336974,2,96
17336975,1,96
17336975,2,96
17336976,1,96
17336977,1,98
17336977,2,96
17336978,1,96
17336978,2,96
17336993,1,99
17336994,1,99
17336995,1,8
17336995,2,96
17336996,1,96
17336996,2,96
17336998,1,96
17336998,2,99
17336999,1,96
17336999,2,96
17337000,1,96
17337000,2,98
17337001,1,96
17337001,2,96
17337002,1,98
17337002,2,3
17337002,3,96
17337002,4,96
17337003,1,96
17337003,2,98
17337009,1,96
17337009,2,96
17337010,1,96
17337010,2,96
17337011,1,96
17337011,2,96
17337014,1,96
17337014,2,96
17337015,1,96
17337015,2,96
17337017,1,96
17337017,2,96
17337018,1,96
17337018,2,96
17337021,1,96
17337023,1,98
17337024,1,8
17337024,2,96
17337025,1,8
17337025,2,96
17337026,1,98
17337026,2,96
17337027,1,96
17337027,2,96
17337027,3,96
17337028,1,96
17337028,2,99
17337029,1,96
17337029,2,96
17337030,1,8
17337031,1,96
17337032,1,96
17337032,2,96
17337033,1,96
17337033,2,96
17337034,1,96
17337034,2,98
17337035,1,8
17337035,2,96
17337035,3,96
17337036,1,96
17337036,2,99
17337038,1,96
17337039,1,96
17337039,2,96
17337041,1,96
17337041,2,3
17337041,2,6
17337045,1,96
17337045,2,96
17337050,1,96
17337057,1,96
17337060,1,8
17337060,2,96
17337066,1,96
17337066,2,99
17337074,1,96
17337074,2,96
17337075,1,99
17337075,2,96
17337077,1,96
17337077,3,99
17337084,1,96
17337084,2,96
17337087,1,96
17337087,2,2
17337088,1,96
17337088,2,96
17337089,1,96
17337089,2,96
17337090,1,96
17337090,2,96
17337093,1,96
17337093,2,96
17337094,1,96
17337094,2,96
17337097,1,8
17337097,2,96
17337099,1,98
17337099,3,98
17337106,1,96
17337106,2,96
17337116,1,96
17337116,2,96
17337116,3,96
17337120,1,96
17337120,2,96
17337122,1,8
17337122,2,96
17337124,1,96
17337136,1,96
17337137,1,96
17337148,1,96
17337148,2,96
17337151,1,96
17337152,1,96
17337154,1,96
17337154,2,96
17337156,1,96
17337165,1,96
17337165,2,96
17337166,1,96
17337166,2,96
17337167,1,96
17337167,2,96
17337179,1,96
17337179,2,96
17337182,1,96
17337182,2,96
17337184,1,96
17337184,2,96
17337202,1,96
