Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17224351,1,19
17224351,2,19
17334698,1,19
17334717,1,19
17334717,2,99
17335007,1,19
17335033,1,19
17335033,2,1
17335065,1,20
17335096,1,19
17335139,1,99
17335168,1,20
17335181,1,99
17335209,1,1
17335242,1,99
17335242,2,19
17335286,1,19
17335311,1,99
17335311,2,19
17335316,1,1
17335335,1,1
17335335,2,20
17335380,1,19
17335380,2,19
17335392,1,1
17335392,2,99
17335394,1,19
17335395,1,20
17335395,2,1
17335411,1,19
17335411,2,20
17335411,3,19
17335468,1,19
17335468,2,1
17335470,1,1
17335470,2,19
17335487,1,23
17335487,2,20
17335488,1,49
17335495,1,1
17335495,2,1
17335519,1,19
17335519,2,19
17335524,1,19
17335524,2,20
17335533,1,1
17335533,2,19
17335542,1,19
17335542,2,19
17335552,1,19
17335553,1,20
17335553,2,19
17335554,1,99
17335554,2,20
17335554,3,1
17335554,4,19
17335557,1,99
17335559,1,19
17335559,3,19
17335569,1,19
17335569,2,19
17335592,1,19
17335592,2,19
17335597,1,20
17335625,1,19
17335625,2,1
17335635,1,99
17335635,2,19
17335635,3,20
17335642,1,19
17335642,2,19
17335662,1,19
17335662,2,19
17335663,1,1
17335663,2,19
17335675,1,99
17335675,2,19
17335688,1,1
17335688,2,20
17335704,1,99
17335704,3,19
17335713,1,19
17335713,2,19
17335718,1,21
17335718,1,22
17335718,2,1
17335718,2,23
17335725,1,19
17335725,2,19
17335738,1,19
17335738,2,20
17335742,1,20
17335742,2,19
17335745,1,99
17335745,2,98
17335746,1,19
17335752,1,98
17335752,2,19
17335782,1,19
17335789,1,19
17335789,2,1
17335806,1,19
17335806,2,19
17335814,1,19
17335814,2,99
17335828,1,99
17335842,1,19
17335842,2,19
17335843,1,19
17335843,2,1
17335845,1,19
17335845,2,19
17335846,1,1
17335846,2,19
17335855,1,99
17335857,1,98
17335857,2,19
17335860,1,1
17335860,2,19
17335862,1,19
17335865,1,19
17335865,2,19
17335868,1,99
17335869,1,19
17335883,1,20
17335883,2,1
17335883,2,22
17335883,2,23
17335883,2,59
17335896,1,19
17335896,2,19
