Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
15657177,1,96
16406486,1,96
16406486,2,96
16473665,1,96
16473665,2,99
16871051,1,96
16871051,3,96
16995273,1,96
16995273,2,8
17030698,1,96
17030833,1,96
17030833,2,96
17030867,1,96
17030867,2,96
17031076,1,96
17031076,2,96
17031093,1,8
17031398,1,96
17031487,1,96
17031489,1,8
17031518,1,96
17031518,2,96
17031544,1,96
17031544,2,8
17031567,1,96
17031567,2,98
17031567,3,3
17031571,1,96
17031571,2,96
17031591,1,96
17031593,1,99
17031594,1,96
17031635,1,96
17031635,2,96
17031638,1,8
17031638,2,99
17031671,1,8
17031671,2,8
17031674,1,96
17031720,1,96
17031720,2,96
17031725,1,96
17031725,2,96
17031725,3,99
17031748,1,96
17031748,2,96
17031749,1,96
17031749,2,96
17031768,1,96
17031768,2,96
17031768,3,96
17031773,1,8
17031784,1,8
17031784,2,8
17031785,1,96
17031785,2,96
17031790,1,96
17031790,3,96
17031796,1,96
17031796,2,96
17031805,1,8
17031805,2,96
17031830,1,96
17031830,2,96
17031860,1,96
17031860,2,98
17031861,1,96
17031861,2,96
17031872,1,96
17031872,2,96
17031877,1,96
17031877,2,96
17031877,3,96
17031882,1,8
17031882,2,96
17031905,1,8
17031905,2,96
17031907,1,96
17031907,2,96
17031910,1,96
17031910,2,96
17031922,1,96
17031922,2,96
17031927,1,8
17031934,1,96
17031934,2,96
17031940,1,96
17031940,2,98
17031980,1,96
17031980,2,96
17032001,1,96
17032001,2,8
17032014,1,96
17032014,2,96
17032016,1,96
17032016,2,8
17032026,1,99
17032026,2,96
17032035,1,96
17032035,2,96
17032040,1,96
17032040,2,96
17032043,1,96
17032073,1,96
17032073,2,96
17032096,1,8
17032096,2,8
17032097,1,99
17032111,1,96
17032111,2,96
17032120,1,3
17032144,1,96
17032144,2,96
17032177,1,99
17032188,1,96
17032188,2,96
17032211,1,96
17032211,2,96
17032220,1,96
17032262,1,96
17032262,2,96
17032262,3,96
17032262,4,96
17032269,1,96
17032269,2,96
17032270,1,96
17032270,2,96
17032272,1,96
17032272,2,96
17032274,1,96
17032274,2,96
17032280,1,96
17032280,2,96
17032282,1,96
17032284,1,96
17032284,2,96
17032293,1,99
17032293,2,8
17032316,1,96
17032316,2,96
17032316,3,96
17032344,1,96
17032344,2,96
17032351,1,99
17032352,1,96
17032352,2,96
17032353,1,96
17032353,2,96
17032355,1,8
17032355,2,96
17032369,1,96
17032369,3,98
17032380,1,96
17032380,2,96
17032389,1,96
17032389,2,96
17032391,1,96
17032391,2,96
17032397,1,8
17032402,1,96
17032402,2,96
17032403,1,96
17032403,2,96
17032416,1,96
17032416,2,96
17032430,1,96
17032430,2,96
17032431,1,8
17032431,2,96
17032441,1,96
17032441,2,96
17032453,1,96
17032453,2,8
17032454,1,96
17032454,2,96
17032464,1,96
17032464,2,96
17032465,1,96
17032469,1,96
17032478,1,96
17032478,2,96
17032487,1,99
17032487,2,3
17032487,2,6
17032492,1,96
17032492,2,96
17032494,1,99
17032494,2,96
17032496,1,96
17032496,2,96
17032502,1,99
17032502,2,96
17032505,1,96
17032505,2,96
17032508,1,96
17032508,2,96
17032514,1,96
17032514,2,96
17032524,1,98
17032524,3,96
