Crash_ID,Damaged_Property
15657177,20 FEET OF METAL FENCING
17030698,8FT OF GUARDRAIL DAMAGE
17031093,FIRE HYDRANT
17031398,POLE #28215327692
17031487,TRAILER
17031674,STOP SIGN AND METAL POLE
17031805,50 FOOT OF ROUGHT IRON FENCE.
17031927,CONCRETE WALL MEDIAN
17032220,ONE WAY STREET SIGN
17032262,LIGHT POLE
17032352,GUARD RAIL
17032465,CABLE LINES
17032469,DEEP RUT IN YARD
17032529,MAILBOX
17032588,GARAGE FRAME AND BRICK
17032588,GARAGE FRAME AND BRICK
17032596,LIGHT POLE
17032701,GUARD RAILL
17032762,STREET SIGN
17032881,GARAGE EXTERIOR WALL
17032881,UTILITY POWER BOX
17032920,DAMAGED METAL FENCE
17032924,TELEPHONE POLE - UNK DAMAGE AT THIS TIME
17032924,CONSTRUCTION EQUIPMENT- UNK DAMAGE
17032947,SPEED LIMIT SIGN (40 MPH) RAN OVER
17032983,LANDSCAPPING
17032983,UTILITY POLE
17032987,COW
17032992,ELECTRIC BARBED WIRE FENCE
17033042,ROADWAY
17033042,COW 3
17033061,CHAIN LINK FENCE
17033072,CONCRETE MEDIAN
17033078,CONCRETE BARRIER
17033080,CONCRETE BASE OF UTILITY LIGHT POLE
17033085,LIGHT POLE
17033085,BRICK COLUMN
17033113,DAMAGED POWER POLE #87938
17033113,DAMAGED SIGN
17033127,CONCRETE BARRIER
17033162,BARRIER ATTENUATOR
17033193,STOP/STREET SIGN DAMAGE
17033193,CARPORT DAMAGE
17033193,IRON FENCE DAMAGE
17033193,LANDSCAPING DAMAGE
17033233,LIGHT POLE
17033261,STRUCK (3) GUARD RAIL POLES/PUSHED OVER
17033278,YIELD SIGN
17033485,BRICK SHED
17033508,HIGHWAY SIGN KNOCKED DOWN
17033542,913 ESTELLE AVENUE FENCE
17033565,MAILBOX AND POST
17033627,SIGN
17033661,STOP SIGN
17033675,U-TURN SIGNAGE
17033732,ELECTRICAL BOX
17033738,GUARD RAIL AND END CAP
17033741,PLASTIC PIPE LANE DIVIDERS
17033839,TREE
17033888,CROSS WALK POLE
17033938,CHAIN LINK AND WOOD FENCE
17033998,DAMAGED HOUSE AT 2127 WELLINGTON DR
17033998,DAMAGED CLOTHING AND MISC ITEMS
17034008,CONCRETE BARRIER
17034223,DENTED IN SHEET METAL FENCE & STEEL POST
17034270,GUARD RAIL
17034288,UTILITY POLE
17034322,NO PARKING SIGN
17034361,MUELLER FIRE HYDRANT (5 1/4)
17034398,DECORATIVE LIGHT POLE
17034413,40 FEET OF GUARDRAIL ON S SIDE OF HWY EB
17034414,DAMAGE DRIVERS SIDE IMPACT VEHICLE 1
17034414,FRONT END DAMAGE VEHICLE 2
