Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
15657177,1,19
16406486,1,19
16406486,2,1
16473665,1,1
16473665,2,99
16871051,1,1
16871051,3,1
16995273,1,19
16995273,2,20
17030698,1,1
17030833,1,19
17030833,2,19
17030867,1,19
17030867,2,19
17031076,1,19
17031076,2,19
17031093,1,20
17031398,1,19
17031487,1,19
17031489,1,20
17031518,1,1
17031518,2,1
17031544,1,19
17031544,2,20
17031567,1,19
17031567,2,98
17031567,3,1
17031571,1,1
17031571,2,19
17031591,1,19
17031593,1,99
17031594,1,19
17031635,1,19
17031635,2,1
17031638,1,20
17031638,2,99
17031671,1,20
17031671,2,20
17031674,1,98
17031720,1,1
17031720,2,19
17031725,1,19
17031725,2,19
17031725,3,99
17031748,1,19
17031748,2,19
17031749,1,19
17031749,2,19
17031768,1,19
17031768,2,19
17031768,3,98
17031773,1,20
17031784,1,20
17031784,2,20
17031785,1,19
17031785,2,19
17031790,1,1
17031790,3,19
17031796,1,19
17031796,2,19
17031805,1,20
17031805,2,19
17031830,1,19
17031830,2,19
17031860,1,1
17031860,2,98
17031861,1,19
17031861,2,1
17031872,1,19
17031872,2,19
17031877,1,98
17031877,2,1
17031877,2,21
17031877,3,19
17031882,1,20
17031882,2,19
17031905,1,20
17031905,2,19
17031907,1,1
17031907,2,19
17031910,1,23
17031910,2,1
17031922,1,21
17031922,2,19
17031927,1,20
17031934,1,19
17031934,2,19
17031940,1,19
17031940,2,98
17031980,1,19
17031980,2,19
17032001,1,1
17032001,2,20
17032014,1,19
17032014,2,19
17032016,1,19
17032016,2,20
17032026,1,99
17032026,2,19
17032035,1,19
17032035,2,19
17032040,1,19
17032040,2,19
17032043,1,19
17032073,1,19
17032073,2,1
17032096,1,20
17032096,2,20
17032097,1,99
17032111,1,19
17032111,2,19
17032120,1,19
17032144,1,1
17032144,2,19
17032177,1,99
17032188,1,19
17032188,2,1
17032211,1,1
17032211,2,98
17032220,1,19
17032262,1,19
17032262,2,19
17032262,3,19
17032262,4,19
17032269,1,19
17032269,2,19
17032270,1,19
17032270,2,19
17032272,1,19
17032272,2,19
17032274,1,19
17032274,2,19
17032280,1,19
17032280,2,19
17032282,1,1
17032284,1,1
17032284,2,19
17032293,1,99
17032293,2,20
17032316,1,19
17032316,2,1
17032316,3,19
17032344,1,19
17032344,2,1
17032351,1,99
17032352,1,1
17032352,2,1
17032353,1,19
17032353,2,19
17032355,1,20
17032355,2,19
17032369,1,25
17032369,3,98
17032380,1,1
17032380,2,1
17032389,1,19
17032389,2,19
17032391,1,19
17032391,2,19
17032397,1,20
17032402,1,19
17032402,2,19
17032403,1,19
17032403,2,19
17032416,1,19
17032416,2,1
17032430,1,19
17032430,2,98
17032431,1,20
17032431,2,19
17032441,1,19
17032441,2,98
17032453,1,19
17032453,2,20
17032454,1,19
17032454,2,19
17032464,1,1
17032464,2,1
17032465,1,98
17032469,1,98
17032478,1,19
17032478,2,1
17032487,1,99
17032487,2,19
17032492,1,19
17032492,2,19
17032494,1,99
17032494,2,19
17032496,1,19
17032496,2,23
17032502,1,99
17032502,2,19
17032505,1,19
17032505,2,1
17032508,1,19
17032508,2,19
17032514,1,19
17032514,2,1
17032524,1,98
17032524,3,19
17032529,1,1
17032538,1,99
17032538,2,1
17032544,1,99
17032546,1,1
17032546,2,20
17032546,3,1
17032549,1,99
17032549,2,19
17032563,1,19
17032563,2,19
17032565,1,99
17032565,2,19
17032571,1,19
17032573,1,1
17032573,2,1
17032580,1,19
17032580,2,19
17032581,1,19
17032581,2,1
17032583,1,19
17032583,2,59
17032583,2,67
17032584,1,19
17032584,3,19
17032585,1,99
17032585,2,19
17032588,1,1
17032596,1,19
17032597,1,19
17032597,2,19
17032598,1,19
17032598,2,19
17032598,3,19
17032612,1,20
17032612,2,1
17032620,1,1
17032620,2,19
17032622,1,23
17032622,2,1
17032624,1,98
17032624,2,19
17032625,1,1
17032625,2,19
17032629,1,19
17032629,2,19
17032639,1,19
17032639,2,1
17032640,1,98
17032640,2,20
17032643,1,98
17032643,2,19
17032644,1,1
17032644,2,59
17032645,1,98
17032645,2,19
17032646,1,19
17032646,2,19
17032646,3,19
17032649,1,99
17032649,2,19
17032651,1,98
17032651,2,19
17032652,1,19
17032652,2,19
17032653,1,1
17032653,2,19
17032654,1,19
17032654,2,19
17032663,1,20
17032663,2,19
17032664,1,99
17032664,2,19
17032674,1,19
17032674,2,19
17032686,1,19
17032686,2,19
