Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17220948,1,19
17376074,1,19
17376074,2,19
17432506,1,99
17432506,2,19
17432536,1,1
17432536,2,19
17432542,1,19
17432566,1,23
17432613,1,19
17432942,1,1
17432953,1,19
17432956,1,19
17432956,2,19
17433274,1,19
17433274,2,19
17433386,1,1
17433386,2,19
17433401,1,19
17433401,2,1
17433488,1,19
17433488,2,19
17433501,1,19
17433501,2,1
17433524,1,1
17433524,2,98
17433528,1,19
17433528,3,19
17433703,1,19
17433706,1,19
17433706,2,19
17433706,3,19
17433755,1,1
17433755,2,98
17433865,1,19
17433865,2,19
17433866,1,19
17433866,2,19
17433869,1,1
17433869,2,1
17433922,1,19
17433980,1,1
17433980,2,19
17433983,1,19
17433983,2,99
17433986,1,20
17434014,1,1
17434071,1,19
17434094,1,20
17434094,2,19
17434139,1,98
17434139,2,1
17434143,1,1
17434143,3,19
17434146,1,99
17434146,2,19
17434146,3,20
17434149,1,99
17434160,1,20
17434160,2,1
17434165,1,99
17434165,2,19
17434170,1,98
17434170,2,98
17434185,1,19
17434185,2,20
17434199,1,99
17434211,1,19
17434211,2,19
17434214,1,19
17434214,2,19
17434215,1,19
17434215,2,19
17434215,3,19
17434220,1,1
17434220,2,19
17434223,1,19
17434223,3,1
17434227,1,19
17434227,2,1
17434234,1,19
17434234,2,19
17434237,1,99
17434248,1,99
17434248,2,1
17434250,1,19
17434284,1,1
17434284,2,1
17434284,3,98
17434299,1,99
17434310,1,19
17434310,2,19
17434313,1,19
17434313,2,20
17434315,1,1
17434315,2,1
17434315,3,1
17434320,1,19
17434320,2,1
17434331,1,1
17434331,2,1
17434336,1,99
17434343,1,20
17434343,2,19
17434365,1,19
17434365,2,98
17434393,1,1
17434393,2,98
17434404,1,99
17434404,2,1
17434420,1,1
17434420,2,19
17434422,1,19
17434422,2,20
17434438,1,19
17434438,2,19
17434450,1,1
17434450,2,1
17434451,1,19
17434451,2,1
17434452,1,1
17434452,2,20
17434468,1,19
17434468,2,19
17434495,1,98
17434495,2,19
17434508,1,19
17434508,2,19
17434518,1,19
17434532,1,20
17434532,2,19
17434541,1,20
17434541,3,19
17434544,1,99
17434544,2,1
17434544,2,48
17434547,1,99
17434560,1,20
17434562,1,1
17434569,1,20
17434569,2,1
17434589,1,19
17434589,2,1
17434614,1,19
17434633,1,19
17434633,2,19
17434643,1,19
17434644,1,19
17434644,2,19
17434645,1,1
17434645,2,19
17434646,1,20
17434646,2,19
17434669,1,1
17434669,2,20
17434681,1,1
17434694,1,19
17434694,2,19
17434702,1,19
17434702,2,19
17434703,1,19
17434703,2,19
17434705,1,19
17434716,1,19
17434716,2,1
17434721,1,19
17434721,3,19
17434731,1,1
17434745,1,19
17434797,1,1
17434797,2,1
17434805,1,19
17434805,2,19
17434817,1,20
17434817,2,19
17434821,1,20
17434822,1,19
17434822,2,19
17434823,1,19
17434823,2,19
17434824,1,19
17434824,2,99
17434825,1,19
17434825,2,20
17434825,3,1
17434826,2,1
17434827,3,1
17434827,4,98
17434828,1,1
17434828,2,1
17434828,3,1
17434829,1,19
17434829,2,19
17434830,1,19
17434830,2,20
17434830,3,20
17434830,4,19
17434831,1,19
17434831,2,19
17434831,3,19
17434832,1,19
17434832,2,19
17434833,1,19
17434833,2,19
17434833,3,19
17434833,4,19
17434833,5,19
17434834,1,1
17434834,2,20
17434834,3,20
17434835,1,1
17434835,2,1
17434836,1,19
17434836,2,19
17434840,1,19
17434840,2,1
17434908,1,1
17434908,1,21
17434908,1,22
17434908,2,19
17434910,1,1
17434910,2,1
17434918,1,1
17434918,2,19
17434928,1,1
