Crash_ID,Damaged_Property
17432542,SIGNAL LIGHT POLE
17432566,STOP SIGN
17432566,WOODEN TELEPHONE POLE #2261
17432566,GREEN STREET SIGN SHERMAN AND GREENWOOD
17432953,BENT GUARD RAIL
17433703,BLACK COW
17433922,POWER LINE/POLE
17433922,FIRE HYDRANT
17433984,PEDESTRIAN NO CROSSING SIGN
17434532,CONCRETE WALL
17434547,BARB WIRE FENCING
17434560,HORSE
17434562,CEMENT BARRIER
17434643,CONCRETE COLUMN AND BUILDING
17434669,MATURE TREES
17434669,6FT WOODEN FENCE
17434694,STOP SIGN KNOCKED DOWN
17434705,STREET SIGN & POLE
17434705,TREE
17434721,BARBED WIRE FENCE
17434721,GUARD RAIL
17434731,LIGHT POLE
17434745,MAILBOX
17434982,SMALL TREE ON PRIVATE PROPERTY
17435331,BACK YARD ROCK WALL
17435337,STAIR GUARD RAIL
17435407,GROUND WIRE ANCHOR
17435449,"""ONE WAY"" TRAFFIC REFLECTIVE SIGN"
17435462,ATTENTUATOR
17435464,BUS STOP SIGN
17435527,DO NOT ENTER SIGN
17435561,TREE
17435603,METAL RAILROAD SIGN
17435603,WOODEN STAKE
17435612,GUARD RAIL DAMAGE
17435621,FENCE
17435671,BUSINESS ENTRY GATE
17435718,GUARD RAIL
17435732,GLASS WINDOW AND PLUMBING
17435802,MAIL BOX
17435802,MAIL BOX
17435847,WALL
17435886,FENCE
17435966,CENTER MEDIAN DIVIDER
17435968,GAURD RAIL
17435979,METAL FENCE
17435999,POWER CABINET
17436007,TEXAS DOT EXIT SIGN
17436060,STREET SIGN
17436063,TREE
17436063,SIGN
17436082,GUARD RAIL DAMAGE CAUSED BY VEHICLE 15'
17436102,APPROXIMATELY 13 FEET OF RAILING
17436141,POWERPOLE # 406049
17436189,GUARD RAIL
17436191,FIRE HYDRANT
17436292,CHAIN LINK FENCE
17436293,CHAIN LINK FENCE
17436299,METRO SIGNAL/GATE ARM ASSEMBLY MECHANISM
17436321,CONCRETE CURB
17436338,BARBED WIRE FENCE/TREE
17436393,GUARDRAIL AND 7 GUARDRAIL POSTS
17436410,GUARDRAIL/CRASH BARRIER
17436590,6FT OF CHAIN LINK FENCE /1POST
17436590,183A DIRECTION SIGN
17436612,BARBED FENCE
17436718,LIGHT POLE
