Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17220948,1,96
17376074,1,96
17376074,2,96
17432506,1,99
17432506,2,96
17432536,1,96
17432536,2,96
17432542,1,96
17432566,1,96
17432613,1,96
17432942,1,96
17432953,1,96
17432956,1,96
17432956,2,96
17433274,1,96
17433274,2,96
17433386,1,96
17433386,2,96
17433401,1,96
17433401,2,96
17433488,1,96
17433488,2,96
17433501,1,96
17433501,2,96
17433524,1,96
17433524,2,96
17433528,1,3
17433528,1,6
17433528,3,96
17433703,1,96
17433706,1,96
17433706,2,96
17433706,3,96
17433755,1,96
17433755,2,98
17433865,1,96
17433865,2,96
17433866,1,96
17433866,2,96
17433869,1,96
17433869,2,96
17433922,1,96
17433980,1,96
17433980,2,96
17433983,1,96
17433983,2,99
17433986,1,8
17434014,1,96
17434071,1,96
17434094,1,8
17434094,2,96
17434139,1,96
17434139,2,96
17434143,1,3
17434143,3,96
17434146,1,99
17434146,2,96
17434146,3,8
17434149,1,99
17434160,1,8
17434160,2,96
17434165,1,99
17434165,2,96
17434170,1,96
17434170,2,96
17434185,1,96
17434185,2,8
17434199,1,99
17434211,1,96
17434211,2,96
17434214,1,96
17434214,2,96
17434215,1,96
17434215,2,96
17434215,3,96
17434220,1,96
17434220,2,96
17434223,1,96
17434223,3,96
17434227,1,96
17434227,2,96
17434234,1,96
17434234,2,96
17434237,1,99
17434248,1,99
17434248,2,96
17434250,1,96
17434284,1,96
17434284,2,96
17434284,3,96
17434299,1,99
17434310,1,96
17434310,2,96
17434313,1,96
17434313,2,8
17434315,1,96
17434315,2,96
17434315,3,96
17434320,1,96
17434320,2,96
17434331,1,96
17434331,2,96
17434336,1,99
17434343,1,8
17434343,2,96
17434365,1,96
17434365,2,96
17434393,1,96
17434393,2,96
17434404,1,99
17434404,2,96
17434420,1,96
17434420,2,96
17434422,1,96
17434422,2,8
17434438,1,96
17434438,2,96
17434450,1,96
17434450,2,96
17434451,1,96
17434451,2,96
17434452,1,96
17434452,2,8
17434468,1,96
17434468,2,96
17434495,1,96
17434495,2,96
17434508,1,96
17434508,2,96
17434518,1,96
17434532,1,8
17434532,2,96
17434541,1,8
17434541,3,96
17434544,1,99
17434544,2,2
17434544,2,5
17434547,1,99
17434560,1,8
17434562,1,96
17434569,1,8
17434569,2,96
17434589,1,96
17434589,2,96
17434614,1,96
17434633,1,96
17434633,2,96
17434643,1,96
17434644,1,96
17434644,2,96
17434645,1,96
17434645,2,96
17434646,1,8
17434646,2,96
17434669,1,96
17434669,2,8
17434681,1,96
17434694,1,96
17434694,2,96
17434702,1,96
17434702,2,96
17434703,1,96
17434703,2,96
17434705,1,96
17434716,1,96
17434716,2,96
17434721,1,96
17434721,3,96
17434731,1,96
17434745,1,96
17434797,1,96
17434797,2,96
17434805,1,96
17434805,2,96
17434817,1,8
17434817,2,96
17434821,1,8
17434822,1,96
17434822,2,96
17434823,1,96
17434823,2,96
17434824,1,96
17434824,2,96
17434825,1,96
17434825,2,8
17434825,3,96
17434826,2,96
17434827,3,96
17434827,4,98
17434828,1,96
17434828,2,96
17434828,3,96
17434829,1,96
17434829,2,96
17434830,1,96
17434830,2,8
17434830,3,8
17434830,4,96
17434831,1,96
17434831,2,96
17434831,3,96
17434832,1,96
17434832,2,96
17434833,1,96
17434833,2,96
17434833,3,96
17434833,4,96
17434833,5,96
17434834,1,96
17434834,2,8
17434834,3,8
17434835,1,96
17434835,2,96
17434836,1,96
17434836,2,96
17434840,1,96
17434840,2,96
17434908,1,96
17434908,2,96
17434910,1,96
17434910,2,96
17434918,1,96
17434918,2,96
17434928,1,96
17434944,1,96
17434944,2,96
17434946,1,2
17434946,1,4
17434946,1,5
17434946,3,96
17434959,1,96
17434960,1,96
17434967,1,96
17434967,2,96
17434975,1,96
17434975,2,96
17434977,1,96
17434982,1,96
17434986,1,96
17434986,2,96
17435016,1,3
17435016,3,8
17435027,1,99
17435027,2,96
17435028,1,8
17435028,2,96
17435034,1,8
17435034,2,96
17435038,1,3
17435038,3,96
17435038,4,96
17435039,1,96
17435039,2,96
17435044,1,99
17435044,2,96
17435048,1,96
17435048,2,96
17435049,1,96
17435049,2,96
17435050,1,96
17435050,2,96
17435052,1,96
17435054,1,96
17435054,2,96
17435059,1,96
17435061,1,99
17435061,2,2
17435061,2,5
17435079,1,96
17435079,2,96
17435084,1,96
17435084,2,96
17435092,1,96
17435092,2,96
17435095,1,96
17435095,2,96
17435096,1,99
17435097,1,96
17435097,2,96
