Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
16348087,1,99
16922652,1,19
16922652,2,19
16926816,1,19
16926824,1,19
16926855,1,1
16926868,1,19
16926904,1,99
16926904,2,21
16926997,1,20
16926997,2,19
16927054,1,19
16927060,1,20
16927060,2,19
16927061,1,19
16927061,2,21
16927123,1,99
16927123,2,1
16927136,1,19
16927136,2,19
16927142,1,19
16927142,2,19
16927145,1,19
16927145,2,19
16927178,1,20
16927189,1,19
16927189,2,19
16927200,1,1
16927200,2,19
16927205,1,1
16927205,2,19
16927211,1,1
16927211,2,99
16927221,1,23
16927221,2,1
16927221,3,1
16927222,1,1
16927222,2,19
16927225,1,19
16927225,2,19
16927233,1,1
16927247,1,20
16927247,2,19
16927287,1,19
16927287,2,19
16927290,1,20
16927290,2,1
16927295,1,19
16927295,2,19
16927310,1,19
16927310,2,19
16927313,1,98
16927313,3,19
16927313,4,19
16927323,1,1
16927323,1,23
16927323,2,1
16927324,1,19
16927324,2,1
16927330,1,19
16927330,2,19
16927333,1,20
16927334,1,19
16927334,2,19
16927338,1,1
16927338,2,20
16927339,1,1
16927339,2,1
16927343,1,21
16927344,1,19
16927344,2,1
16927344,2,23
16927345,1,1
16927345,2,19
16927345,3,19
16927347,1,20
16927359,1,1
16927359,2,19
16927359,3,19
16927366,1,23
16927367,1,1
16927367,2,1
16927371,1,1
16927371,2,98
16927390,1,1
16927402,1,19
16927402,2,19
16927429,1,99
16927429,2,19
16927434,1,19
16927434,2,19
16927435,1,19
16927453,1,99
16927469,1,20
16927469,2,19
16927470,1,19
16927470,2,19
16927474,1,99
16927476,1,19
16927476,2,19
16927476,3,19
16927477,1,1
16927477,2,19
16927478,1,19
16927490,1,98
16927499,1,19
16927499,2,19
16927505,1,19
16927505,2,1
16927514,2,1
16927541,1,20
16927544,1,99
16927544,2,19
16927546,1,19
16927546,2,19
16927550,1,98
16927550,2,1
16927553,1,19
16927560,1,19
16927562,1,99
16927562,2,19
16927568,1,1
16927568,2,19
16927576,1,19
16927576,2,20
16927576,3,19
16927577,1,99
16927577,2,19
16927597,1,19
16927597,2,19
16927597,3,19
16927619,1,19
16927619,2,19
16927622,1,19
16927622,2,1
16927623,1,19
16927623,2,1
16927625,1,19
16927625,2,19
16927627,1,1
16927627,2,1
16927628,1,1
16927628,2,19
16927630,1,99
16927630,2,1
16927631,1,20
16927631,2,1
16927632,1,19
16927632,2,19
16927633,1,1
16927633,1,23
16927633,2,1
16927633,3,19
16927634,1,19
16927634,2,1
16927637,1,19
16927637,2,20
16927638,1,20
16927638,2,1
16927640,1,1
16927640,1,21
16927640,1,22
16927640,2,98
16927643,1,1
16927644,1,99
16927644,2,19
16927648,1,19
16927652,1,1
16927652,2,1
16927662,1,19
16927665,1,19
16927665,2,19
16927672,1,1
16927672,1,23
16927673,1,19
16927673,2,20
16927677,1,99
16927682,1,1
16927682,1,21
16927682,2,19
16927685,1,1
16927685,1,21
16927688,1,21
16927688,1,22
16927691,1,98
16927693,1,19
16927699,1,19
16927701,1,19
16927702,1,19
16927702,2,99
16927703,1,19
16927703,2,19
16927703,3,20
16927705,1,98
16927705,2,19
16927706,1,19
16927706,2,19
16927713,1,1
16927713,2,20
16927716,1,19
16927717,1,99
16927718,1,99
16927719,1,19
16927722,1,20
16927722,2,19
16927725,1,19
16927725,2,1
16927726,1,1
16927726,2,19
16927727,1,19
16927728,1,23
16927728,2,19
16927730,1,99
16927730,2,19
16927731,1,20
16927731,2,19
16927731,3,1
16927732,1,19
16927735,1,99
16927736,1,1
16927736,2,98
16927739,1,1
16927755,1,99
16927755,2,21
16927757,1,99
16927757,2,19
16927758,1,99
16927759,1,99
16927759,2,1
16927760,1,99
16927760,2,19
16927761,1,99
16927761,2,19
16927762,1,1
16927763,1,19
16927766,1,99
16927767,1,98
16927768,1,99
16927802,1,20
16927802,2,19
16927804,1,19
16927804,2,98
16927815,1,19
16927815,2,19
16927823,1,19
16927828,1,20
16927828,2,19
16927832,1,99
16927832,2,19
16927835,1,19
16927835,2,19
16927836,1,20
16927836,2,20
16927838,1,1
16927838,2,19
16927840,1,19
16927841,1,20
16927841,2,20
16927842,1,19
16927842,2,20
16927845,1,20
16927852,1,19
16927852,2,19
16927858,1,19
16927858,2,20
16927860,1,20
16927860,2,20
16927861,1,1
16927863,1,20
16927865,1,19
16927867,1,19
16927867,2,19
16927870,1,98
16927870,2,19
16927872,1,99
16927872,2,19
16927872,3,19
16927873,1,99
16927873,2,20
16927877,1,1
16927877,2,1
16927880,1,98
16927880,2,19
16927882,1,1
16927884,1,98
16927885,1,19
16927885,2,19
16927885,3,98
