Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
16348087,1,99
16922652,1,96
16922652,2,96
16926816,1,96
16926824,1,96
16926855,1,96
16926868,1,96
16926904,1,99
16926904,2,96
16926997,1,8
16926997,2,96
16927054,1,96
16927060,1,8
16927060,2,96
16927061,1,96
16927061,2,96
16927123,1,99
16927123,2,96
16927136,1,96
16927136,2,96
16927142,1,96
16927142,2,96
16927145,1,96
16927145,2,96
16927178,1,8
16927189,1,96
16927189,2,96
16927200,1,96
16927200,2,96
16927205,1,96
16927205,2,96
16927211,1,96
16927211,2,99
16927221,1,96
16927221,2,96
16927221,3,96
16927222,1,96
16927222,2,96
16927225,1,96
16927225,2,96
16927233,1,96
16927247,1,8
16927247,2,96
16927287,1,96
16927287,2,96
16927290,1,8
16927290,2,96
16927295,1,96
16927295,2,96
16927310,1,96
16927310,2,96
16927313,1,96
16927313,3,96
16927313,4,96
16927323,1,96
16927323,2,96
16927324,1,96
16927324,2,96
16927330,1,96
16927330,2,96
16927333,1,8
16927334,1,96
16927334,2,96
16927338,1,96
16927338,2,8
16927339,1,96
16927339,2,96
16927343,1,96
16927344,1,96
16927344,2,96
16927345,1,96
16927345,2,96
16927345,3,96
16927347,1,8
16927359,1,96
16927359,2,96
16927359,3,96
16927366,1,96
16927367,1,96
16927367,2,96
16927371,1,96
16927371,2,96
16927390,1,96
16927402,1,96
16927402,2,96
16927429,1,99
16927429,2,96
16927434,1,96
16927434,2,96
16927435,1,96
16927453,1,99
16927469,1,8
16927469,2,96
16927470,1,96
16927470,2,96
16927474,1,99
16927476,1,96
16927476,2,96
16927476,3,96
16927477,1,96
16927477,2,96
16927478,1,96
16927490,1,96
16927499,1,96
16927499,2,96
16927505,1,96
16927505,2,96
16927514,2,96
16927541,1,8
16927544,1,99
16927544,2,96
16927546,1,96
16927546,2,2
16927546,2,6
16927550,1,96
16927550,2,96
16927553,1,96
16927560,1,96
16927562,1,99
16927562,2,96
16927568,1,96
16927568,2,96
16927576,1,96
16927576,2,8
16927576,3,96
16927577,1,99
16927577,2,96
16927597,1,96
16927597,2,96
16927597,3,96
16927619,1,96
16927619,2,96
16927622,1,96
16927622,2,96
16927623,1,96
16927623,2,96
16927625,1,96
16927625,2,96
16927627,1,96
16927627,2,96
16927628,1,96
16927628,2,96
16927630,1,99
16927630,2,96
16927631,1,8
16927631,2,99
16927632,1,96
16927632,2,96
16927633,1,96
16927633,2,96
16927633,3,96
16927634,1,96
16927634,2,96
16927637,1,96
16927637,2,8
16927638,1,8
16927638,2,96
16927640,1,96
16927640,2,96
16927643,1,99
16927644,1,99
16927644,2,96
16927648,1,96
16927652,1,96
16927652,2,96
16927662,1,96
16927665,1,96
16927665,2,96
16927672,1,96
16927673,1,96
16927673,2,8
16927677,1,99
16927682,1,96
16927682,2,96
16927685,1,96
16927688,1,96
16927691,1,96
16927693,1,96
16927699,1,96
16927701,1,96
16927702,1,96
16927702,2,99
16927703,1,96
16927703,2,96
16927703,3,8
16927705,1,96
16927705,2,96
16927706,1,96
16927706,2,3
16927706,2,6
16927713,1,96
16927713,2,8
16927716,1,96
16927717,1,99
16927718,1,99
16927719,1,96
16927722,1,8
16927722,2,96
16927725,1,96
16927725,2,96
16927726,1,96
16927726,2,96
16927727,1,96
16927728,1,96
16927728,2,96
16927730,1,99
16927730,2,96
16927731,1,8
16927731,2,96
16927731,3,96
16927732,1,96
16927735,1,99
16927736,1,96
16927736,2,96
16927739,1,96
16927755,1,99
16927755,2,96
16927757,1,99
16927757,2,96
16927758,1,99
16927759,1,99
16927759,2,6
16927760,1,99
16927760,2,96
16927761,1,99
16927761,2,96
16927762,1,96
16927763,1,96
16927766,1,99
16927767,1,96
16927768,1,99
16927802,1,8
16927802,2,96
16927804,1,96
16927804,2,96
16927815,1,96
16927815,2,96
16927823,1,3
16927823,1,6
16927828,1,8
16927828,2,96
16927832,1,99
16927832,2,96
16927835,1,96
16927835,2,96
16927836,1,8
16927836,2,8
16927838,1,96
16927838,2,96
16927840,1,96
16927841,1,8
16927841,2,8
16927842,1,96
16927842,2,8
16927845,1,8
16927852,1,96
16927852,2,96
16927858,1,96
16927858,2,8
16927860,1,8
16927860,2,8
16927861,1,96
16927863,1,8
16927865,1,96
16927867,1,96
16927867,2,96
16927870,1,98
16927870,2,96
16927872,1,99
16927872,2,96
16927872,3,96
16927873,1,99
16927873,2,8
16927877,1,96
16927877,2,96
16927880,1,96
16927880,2,96
16927882,1,96
16927884,1,96
16927885,1,96
16927885,2,96
16927885,3,96
16927889,1,99
16927889,2,96
16927891,1,99
16927891,2,96
16927894,1,96
16927897,1,8
16927898,1,8
16927898,2,96
16927898,3,96
16927899,1,99
16927899,2,96
16927900,1,8
16927902,1,96
16927905,1,96
16927905,2,96
16927909,1,96
16927912,1,99
16927912,2,96
16927916,1,96
16927916,2,96
16927916,3,96
16927918,1,96
16927918,2,99
16927918,4,99
16927921,1,96
16927921,2,96
16927921,3,96
16927922,1,96
16927925,1,96
16927925,2,96
16927927,1,96
16927929,1,99
16927929,2,8
16927936,1,99
16927938,1,96
16927938,2,96
16927939,1,96
16927939,2,96
16927943,1,8
16927943,2,96
16927944,1,96
16927945,1,96
16927946,1,99
16927946,2,96
16927947,1,96
16927949,1,99
16927951,1,96
16927951,2,96
16927954,1,96
16927954,2,99
16927956,1,99
16927957,1,99
16927958,1,96
16927961,1,96
16927961,2,98
16927962,1,8
16927962,2,8
16927964,1,96
16927964,2,96
16927969,1,96
16927969,2,99
16927971,1,99
16927971,2,96
16927972,1,96
16927973,1,96
16927973,2,96
16927976,1,96
16927976,2,96
16927977,1,99
16927978,1,99
16927979,1,96
16927981,1,96
16927981,2,96
16927982,1,96
16927982,2,96
16927983,1,96
16927986,1,99
16927986,2,96
16927986,3,96
16927987,1,96
16927987,2,96
16927987,3,96
16927988,1,99
16927989,1,8
16927989,2,96
16927991,1,96
16927993,1,99
16927993,2,96
16928001,1,96
16928001,2,96
16928004,1,96
16928004,2,2
16928004,2,6
16928004,2,7
16928005,1,96
16928005,2,96
16928006,1,96
16928008,1,96
16928008,2,2
16928008,2,5
16928008,3,99
16928011,1,8
16928011,2,8
16928015,1,96
16928015,2,99
16928015,3,99
16928016,1,96
16928016,2,8
16928020,1,96
16928021,1,3
16928021,1,6
16928021,3,8
16928027,1,96
16928027,2,99
16928028,1,96
16928034,1,96
16928034,2,96
16928035,1,8
16928036,1,8
16928036,2,8
16928037,1,96
16928040,1,96
16928040,2,96
16928043,1,96
16928043,2,96
16928044,1,96
16928044,2,96
16928045,1,99
16928045,2,96
16928046,1,96
16928046,2,96
16928046,3,96
16928047,1,96
16928047,2,8
16928048,1,96
16928048,2,96
16928049,1,96
16928052,1,8
16928053,1,96
16928053,2,96
16928054,1,96
16928054,2,96
16928057,1,96
16928057,2,96
16928063,1,96
16928066,1,99
16928066,2,96
16928070,1,8
16928070,2,96
16928074,1,99
16928075,1,96
16928075,2,96
16928076,1,96
16928076,2,96
16928083,1,96
16928083,2,96
16928084,1,3
16928084,1,4
16928084,2,96
16928085,1,96
16928085,2,96
16928088,1,96
16928091,1,96
16928091,2,96
16928092,1,8
16928092,2,96
16928093,1,96
16928093,2,8
16928097,1,96
16928097,2,96
16928099,1,96
16928099,2,98
16928100,1,96
16928100,2,96
16928101,1,99
16928101,2,96
16928103,1,99
16928103,2,96
16928104,1,96
16928104,2,96
16928117,1,8
16928117,2,96
16928118,1,96
16928118,2,96
16928141,1,96
16928141,2,96
16928152,1,98
16928152,2,8
16928160,1,99
16928160,2,96
16928173,1,96
16928173,2,96
16928175,1,99
16928176,1,96
16928177,1,96
16928177,2,96
16928178,1,96
16928178,2,96
16928181,1,96
16928181,2,96
16928183,1,96
16928183,2,96
16928184,1,8
16928184,2,8
16928186,1,96
16928186,3,96
16928188,1,96
16928188,2,96
16928188,3,96
16928189,1,96
16928189,2,96
16928190,1,96
16928192,1,96
16928192,2,96
16928193,1,99
16928198,1,96
16928198,2,96
16928213,1,99
16928213,2,96
16928216,1,96
16928216,2,96
16928220,1,96
16928220,2,96
16928221,1,8
16928221,2,96
16928223,1,96
16928223,2,96
16928224,1,96
16928233,1,99
16928255,1,96
16928260,1,99
16928260,2,96
16928264,1,96
16928264,2,8
16928271,1,96
16928271,2,96
16928281,1,8
16928281,3,8
16928288,1,8
16928288,2,96
16928288,3,96
16928289,1,96
16928290,1,96
16928290,2,96
16928291,1,96
16928292,1,96
16928292,2,96
16928294,1,99
16928294,2,96
16928295,1,96
16928295,2,96
16928297,1,96
16928306,1,99
16928311,1,96
16928311,2,96
16928313,1,96
16928313,2,96
16928320,1,8
16928322,1,96
16928322,2,96
16928326,1,99
16928326,2,96
16928331,1,96
16928333,1,96
16928333,2,96
16928334,1,99
16928335,1,96
16928335,2,8
16928336,1,96
16928336,2,96
16928339,1,96
16928342,1,99
16928342,2,96
16928343,1,8
16928343,2,96
16928344,1,96
16928344,2,96
16928353,1,96
16928353,2,96
16928354,1,96
16928354,2,96
16928354,3,99
16928354,4,99
16928359,1,96
16928359,2,96
16928361,1,8
16928362,1,96
16928366,1,96
16928368,1,96
16928368,2,96
16928378,1,96
16928378,2,96
16928383,1,96
16928384,1,96
16928384,3,96
16928385,1,96
16928385,2,96
16928386,1,96
16928386,2,96
16928386,3,8
16928387,1,96
16928390,1,99
16928391,1,98
16928391,2,96
16928395,1,96
16928398,1,99
16928398,2,96
16928399,1,96
16928399,2,8
16928400,1,99
16928400,2,96
16928402,1,99
16928402,2,96
16928404,1,96
16928404,2,96
16928407,1,96
16928407,2,96
16928410,1,96
16928410,2,96
16928424,1,8
16928425,1,96
16928425,2,96
16928429,1,96
16928429,2,96
16928430,1,96
16928430,2,96
16928432,1,96
16928435,1,96
16928435,2,96
16928442,1,99
16928442,2,96
16928446,1,96
16928461,1,96
16928461,2,96
16928463,1,96
16928463,2,96
16928466,1,8
16928466,2,3
16928468,1,96
16928468,2,96
16928470,1,96
16928470,2,96
16928471,1,96
16928472,1,96
16928472,2,96
16928475,1,96
16928475,2,96
16928481,1,99
16928481,2,96
16928483,1,96
16928492,1,96
16928492,2,99
16928493,1,96
16928493,2,96
16928495,1,96
16928498,1,96
16928498,2,96
16928499,1,99
16928499,2,96
16928503,1,96
16928507,1,96
16928511,1,96
16928514,1,96
16928515,1,96
16928515,2,96
16928516,1,96
16928516,2,96
16928517,1,96
16928517,2,3
16928517,2,4
16928517,2,6
16928518,1,98
16928519,1,96
16928520,1,96
16928521,1,96
16928522,1,96
16928522,2,96
16928525,1,99
16928526,1,96
16928526,2,96
16928529,1,96
16928530,1,99
16928530,2,96
16928530,3,96
16928531,1,8
16928531,2,98
16928531,3,96
16928537,1,96
16928537,2,96
16928538,1,96
16928538,2,96
16928541,1,96
16928555,1,96
16928556,1,8
16928556,2,8
16928569,1,96
16928569,2,96
16928574,1,96
16928574,2,96
16928576,1,96
16928579,1,8
16928579,2,96
16928584,1,96
16928584,2,96
16928585,1,96
16928590,1,96
16928590,2,99
16928595,1,96
16928595,2,96
16928598,1,8
16928601,1,96
16928601,2,96
16928606,1,96
16928611,1,3
16928611,1,6
16928617,1,99
16928617,2,96
16928620,1,96
16928620,2,96
16928621,1,99
16928621,3,3
16928621,3,6
16928622,1,99
16928622,2,96
16928632,1,96
16928632,2,2
16928635,1,96
16928635,2,96
16928638,1,96
16928640,1,8
16928641,1,96
16928642,1,96
16928643,1,96
16928643,2,96
16928643,3,96
