Crash_ID,Damaged_Property
16929437,GAURDRAIL
16929454,MILE MARKER SIGN (409)
16929455,DAMAGES TO HIS VEHICLE
16929476,FENCE/BUILDING GLORIAS OYSTER BAR
16929479,CABLE BARRIER
16929507,FENCE
16929510,DAMAGED METRO BUS SHELTER
16929510,DAMAGED SPEEDY CASH/BUSINESS
16929535,CHAIN LINK FENCE AND POLES
16929536,DIESEL GAS PUMP
16929579,"BUILDING -  ""THE ELITE HIT FACTORY"""
16929611,STOP SIGN
16929650,CHAIN LINK FENCE
16929655,DAMAGED FIRE HYDRANT.
16929655,26 FEET OF DAMAGED STONE WALL.
16929655,DAMAGED TREE.
16929676,5 DRUMS
16929676,CRAS CUSHION MODULAR
16929684,WOODEN BEAM
16929684,NORTH BEACH SIGN
16929695,PERSONAL MAILBOX
16929741,ROADSIDE SIGN POST
16929761,LIGHT POLE
16929777,HIGHWAY SIGN
16929777,UTILITY POLE
16929777,MARKER POLE
16929781,LIGHT POLE #39895253663063
16929782,GUARD RAIL
16929818,VEHICLE STRUCK STREET LIGHT POLE
16929825,SIGNAL LIGHT POLE
16929865,YELLOW CROSS WALK SIGN
16929865,SPEED LIMIT SIGN
16929903,FIELD/BARBED WIRE FENCE
16929920,SWEPCO POLE F55807
16929920,"TEXDOT SIGN- ""WEST LOOP 281 1/2 MILE"""
16929925,CABLE BARRIER
16929926,CABLE BARRIER
16929943,45 MILE PER HOUR SPEED LIMIT SIGN/POLE
16929952,POLE FENCE AND DECORATIVE VAN
16929966,BRICK MAIL BOX
16929967,FENCE
16929969,CONCRETE WALL
16929969,BARREL BARRICADES
16929972,BOAT
16929984,50 FEET OF BARBED WIRE FENCE
16930020,PIPE PARKING LOT BARRICADE
16930026,CHAIN LINK FENCE
16930044,1 CABLE BARRIER METAL POST
16930060,CONCRETE CULVERT
16930120,GUARD RAIL
16930133,LIGHT POLE
16930137,IRON FENCE
16930138,POWER POLE
16930179,DAMAGED MAILBOX
16930194,WALL OF APARTMENT
16930279,TRAFFIC LIGHT POLE
16930282,DAMAGE TO 30 FEET OF PIPE FENCE
16930289,GUARD RAIL
16930290,DELINEATOR
16930293,SWEPCO LIGHT POLE #44355
16930303,CONCRETE BARRIER PILLARS
16930316,FIRE HYDRANT
16930320,FENCE
16930380,DAMAGED BRIDGE WARNING SIGN
16930392,WIRE FENCE
16930398,METAL GUARDRAIL
16930408,DAMAGED PIPE FENCE
16930411,MAIL BOX/ TRASH CAN
16930412,ELECTRIC POLE AND WIRES
16930430,BARBED WIRE FENCE AND POLES DESTROYED
16930434,STREET SIGN
16930434,TELEPHONE POLE
16930456,FENCE AND TREES
16930457,GUARDRAIL
16930474,SPEED LIMIT SIGN
16930502,TELEPHONE POLE
16930502,FIBER OPTIC CABLE CABLE
16930508,CITY OH HOUSTON GUARD RAIL
16930520,FENCE
16930605,MAIL BOX
16930622,CABLE BARRIER
16930631,OUTDOOR FIBER OPTIC PEDESTAL
16930646,HIGH GAME FENCE - MAILBOXES
16930688,ROAD SIGN
16930688,BARBED WIRE FENCE
16930688,BARBED WIRE FENCE
16930688,H POST
16930718,WOOD FENCE
16930729,40 YARDS OF GUARDRAIL AND 13 POST
16930732,FENCE
16930740,METAL RAILING
16930757,METAL GUARD RAIL
16930774,WOODEN UTILITY POLE 204278
16930774,GUARDRAIL
16930776,GUARDRAIL
16930790,BRICK MAILBOX (6408 RAIN CREEK PKWY)
16930791,NO PARKING SIGN
16930815,GUARDRAIL
16930817,SPEED LIMIT SIGN
16930852,LIGHT POLE KNOCKED DOWN
16930858,CITY OF AUSTIN LIGHT POLE #259730
16930867,ACZ-350 ANCHORLESS CRASH CUSHION
16930879,TREE KNOCKED DOWN
16930886,GUARD RAIL
16930890,ELECTRIC METER
16930890,FENCE OF RESIDENCE
16930900,BUS STOP/$12000
16930917,TX DOT YELLOW PARKING POLE
16930951,METAL LIGHT POLE
16930955,GUARD RAIL
16930993,CONCRETE BARRIER...MINOR DAMAGE
16930996,CONCRETE WALL/ MEDIAN
16930998,COLLAPSIBLE BARRIER/ATTENUATOR
16931021,DELINEATOR POLE
16931026,STREET SIGN INDICATOR
16931083,MEDIAN GUARDRAIL
16931083,STREET LIGHT
16931093,WOODEN UTILITY POLE
16931096,STOG SIGN - ESTIMATE DAMAGE $150.00
16931111,GUARDRAIL
16931118,2 METAL AND CONTRETE POLE BARRIERS
16931147,BUSINESS PERIMETER FENCE
16931149,STOP SIGN
16931153,CHAIN LINK FENCE
16931176,DAMAGE TO HOUSE AT 1125 PLEASANT DR
16931176,BLACK IRON FENCE
16931176,CHAIN LINK FENCE
16931178,STRUCTURAL DAMAGE TO HOUSE
16931201,"""BUSINESS 83"" ROAD SIGN"
16931257,MALL FESTIVAL EVENT FENCE
16931257,LIGHT POLE
16931265,CROSS WALK POWER POLE
