Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
15581806,1,2,2,1,5,24,0,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15585669,1,2,2,5,5,5,0,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
15585669,1,3,2,6,5,8,0,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15585669,1,4,2,3,5,11,0,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16824666,2,2,2,3,3,26,1,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16824666,2,3,2,4,3,23,1,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16824666,2,4,2,5,3,24,1,2,1,8,2,97,N,,,,,,,0,0,1,0,0,1,0
16824666,2,5,2,6,5,22,1,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
16824889,1,2,2,3,5,23,1,2,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
16824907,1,2,2,3,5,19,2,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
16824921,1,2,2,3,3,19,3,1,1,8,2,97,N,,,,,,,0,0,1,0,0,1,0
16824921,1,3,2,3,0,,3,1,5,10,2,97,N,,,,,,,0,0,0,0,1,0,0
16824921,1,4,2,4,0,,3,1,5,10,2,97,N,,,,,,,0,0,0,0,1,0,0
16824921,2,2,2,3,3,47,3,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16825045,1,2,2,3,5,24,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825132,1,2,2,6,5,4,1,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16825158,1,2,2,3,5,0,2,1,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
16825158,1,3,2,4,5,6,2,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
16825158,1,4,2,6,5,4,2,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
16825179,1,2,2,4,2,20,2,1,1,8,4,97,N,,,,,,,0,1,0,0,0,1,0
16825215,1,2,2,3,5,63,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825236,1,2,2,3,5,18,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825236,1,3,2,3,5,0,2,1,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
16825236,1,4,2,6,5,2,2,2,1,7,1,97,N,,,,,,,0,0,0,1,0,0,0
16825256,1,2,2,3,5,49,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825256,2,2,2,3,5,35,4,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825256,2,3,2,4,5,11,4,2,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
16825256,2,4,2,6,5,61,4,1,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
16825279,1,2,2,3,3,31,2,1,1,1,3,97,N,,,,,,,0,0,1,0,0,1,0
16825279,1,3,2,4,5,2,2,2,1,4,4,97,N,,,,,,,0,0,0,1,0,0,0
16825285,1,2,2,3,3,66,2,2,1,1,3,97,N,,,,,,,0,0,1,0,0,1,0
16825333,1,2,2,3,5,49,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825348,1,2,2,1,5,38,1,1,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
16825348,1,3,2,6,5,56,1,2,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
16825348,1,4,2,4,5,3,1,2,1,4,4,97,N,,,,,,,0,0,0,1,0,0,0
16825348,1,5,2,7,5,11,2,2,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
16825348,1,6,2,9,5,10,1,1,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
16825380,1,2,2,3,5,22,1,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
16825382,2,2,2,3,5,22,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825382,2,3,2,4,5,23,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825414,2,2,2,3,5,12,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825442,2,2,2,3,5,26,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825442,2,3,2,6,5,47,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825459,2,2,2,3,5,19,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16825464,1,2,2,6,5,2,2,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16825464,1,3,2,4,5,1,3,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16825464,2,2,2,3,5,38,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825466,1,2,2,3,3,26,2,2,1,8,8,97,N,,,,,,,0,0,1,0,0,1,0
16825472,1,2,2,3,5,39,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825472,1,3,2,6,5,18,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825472,1,4,2,4,5,19,0,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825472,2,2,2,3,5,44,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825472,2,3,2,6,5,77,0,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16825531,2,2,2,3,5,46,3,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16825570,2,2,2,3,5,29,2,2,1,10,2,97,N,,,,,,,0,0,0,1,0,0,0
16825570,2,3,2,4,5,10,2,1,1,10,2,97,N,,,,,,,0,0,0,1,0,0,0
16825570,2,4,2,6,5,4,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16825601,1,2,2,6,5,29,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16825605,2,2,2,3,5,38,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
