Crash_ID,Damaged_Property
16585839,VEHICLE IMPACT ATTENUATOR
16824840,FENCE
16824840,LIGHT / UTILITY POLE.
16824841,ROAD SIGN
16824844,GUARD RAIL
16824878,BOLLARD
16824889,"2 METAL POST, 4 STRAND BARBEDWIRE FENCE,"
16824907,SIGN POST POLE
16824916,STREET LIGHT
16824916,STREET SIGN AND SHRUBBERY
16824984,PRIVACY FENCE
16824986,METER
16824989,35-40 FT OF WOODEN FENCE AROUND PROPERTY
16825045,ROCK WALL AND MAIL BOX
16825078,6 METAL BARS THAT HOLD CABLE TOGETHER
16825132,LIGHT POLE #314525
16825179,BARBED WIRE FENCE
16825179,PEDESTAL
16825236,GUARD RAIL
16825279,STOP SIGN
16825279,WROUGHT IRON ROCK WALL
16825402,GUARDRAIL
16825443,MAIL BOX
16825462,DAMAGED FRONT FENCE
16825466,DAMAGE TO BUILDING
16825509,PERIMETER FENCE
16825515,DAMAGE TO CENTER CABLE BARRIER.
16825518,FIRE HYDRANT
16825524,BRICK / WROUGHT IRON WALL
16825540,SELMA/SCHERTZ CITY LIMIT SIGN
16825557,WATER-FILLED CONSTRUCTION BARRICADE
16825583,FENCE
16825587,TREES
16825596,SIGNAL LIGHT POLE MINOR SCRATCHES
16825727,POWER POLE AND POWER LINE
16825734,UTILITY POLE
16825734,1998 ORANGE UTILITY TRAILER
16825735,METAL GUARD RAIL
16825740,POWER POLE
16825765,LIGHT POLE CONCRETE FOUNDATION HIT
16825770,UTILITY POLE SNAPPED IN HALF
16825774,GATE TO TRASH
16825776,WALL MOUNTED CABLE BOX CRUSHED
16825776,STONE CLAD WALL STRUCK
16825780,DAMAGED POLE
16825799,FIRE HYDRANT
16825800,SIGNAL LIGHT POLE
16825847,"SHRUBBS, DECORATIVE BOULDERS"
16825876,BARBED WIRE FENCE/ FENCE POST
16825924,FENCE
16825963,PHONE CABLE BOX
16826043,ONE WAY SIGN
16826043,TRAFFIC LIGHT POLE
16826083,BARBED-WIRE FENCE
16826219,SIGNAL LIGHT POLE - EB SIGNAL LIGHT
16826222,CHAIN LINK FENCE AND POSTS
16826289,6' WOOD PICKET FENCE & STORAGE BUILDING
16826396,FENCE
16826453,GUARD RAIL DAMAGE
16826453,POLE (HIGHWAY SIGNAGE)
16826568,TELEPHONE POLE
16826600,ONE WAY SIGN
16826609,GUARD RAIL DAMAGE
16826612,ROADSIDE STREETLIGHT WAS DETROYED
16826631,GUARD RAIL AND HWY STREET SIGN
16826648,CHAIN LINK FENCE
16826661,STREET LIGHT
16826682,RETAINING WALL
16826737,CABLE BARRIER
16826767,BLACK METAL MAILBOX
16826822,STOP SIGN
16826848,GUIDE SIGN
16826858,2072 JAGUAR DR LANDSCAPE
16826858,COSERV POLE
16826858,2104 JAGUAR DR LANDSCAPE
16826867,ROADWAY AND METAL GATE
16826872,LIGHT POLE
16826889,LAMP POST AND STREET SIGN
16826968,"DO NOT ENTER SIGN, POLE, AND BASE CAST"
16826984,CRASH CUSHION
16826988,MAIL BOX
16826988,CHAIN LINK FENCE
16826994,WRONG WAY SIGN
16826994,10 FEET OF GUARDRAIL AND ATTENUATOR
16826994,EXIT SIGN
16827002,DAMAGED LANDSCAPING
16827003,SCARPED / CEMENT BARRIER
16827008,PEDESTRIAN CROSS LIGHT POLE
16827009,METAL RAIL GUARD ON EXIT 39 PEBBLE HILLS
16827013,LIGHT POLE
16827030,GUARDRAIL / CENTER CABLE DIVIDER
16827032,BARBED WIRE FENCE
16827043,PROTECTIVE PIPE BARRIER AROUND UTILITIES
16827044,BARBED WIRE FENCE AND POSTS
16827103,BRICK PILLAR
16827175,DAMAGED FENCE
16827175,DAMAGED ELECTRICAL BOX
16827218,BARBED WIRE FENCING
16827223,LIGHT POLE AND SPEEDLIMIT SIGN DESTROYED
16827240,(2) CABLE POLES
16827245,(3) CABLE POLES
16827247,MOBILE BILLBOARD SIGN
16827253,LIGHT POLE
16827272,STREET LIGHT
16827276,"BRICK MAILBOX, WOOD AND METAL FENCE"
16827321,10' CHAIN LINK FENCE
16827370,APARTMENT WALL
16827374,GUARD RAIL
16827457,GUARD RAIL
16827476,STOP SIGN
16827510,GUARD RAIL CABLE BARRIER
16827526,GUARD RAIL
16827547,GUARD RAIL
16827559,TREE
16827560,DAMAGED METAL ELECTRIC POLE
16827580,EXIT GATE
16827583,GUARD RAIL
16827589,BARBED WIRE FENCE DAMAGE.
16827599,BRICK MAILBOX AND SHRUB
16827600,BARB-WIRE FENCING
16827605,CHAIN LINK FENCE
16827642,GUARD RAIL
16827644,DAMAGED FENCE
16827685,GUARD RAIL
16827693,STREET LIGHT POLE #271520
16827693,SIGN
16827706,STREET SIGN KNOCKED OVER
16827717,GUARD RAIL
16827720,STREET LIGHT
16827721,SIGNAL LIGHT POLE
16827742,BARK DAMAGE TREE/UTILITY COVER
16827828,METAL POLE
16827842,SIGNAL LIGHT POLE
16827843,STREET LIGHT POLE #3997647 3601859
16827909,GUARD RAIL
16827941,MAIL BOX
16827955,CROSS WALK
16828021,DAMAGE TO LIGHT POLE ($500.00)
16828048,DAMAGED STREET SIGN
16828092,FIRE HYDRANT #255
16828122,DAMAGE TO STONE PILLAR
16828124,DENT ON LIGHT POLE
16828132,HIGHWAY SIGN KNOCKED DOWN (WRONG WAY)
16828145,SIGNAL LIGHT
16828149,ELECTRICAL POLE
16828163,BLACK ULTRA CONCORDE BICYCLE
16828172,CONCRETE MEDIAN BARRIER
16828177,BROKEN SAFETY CABLE SUPPORT BEAM
