Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
15581806,1,19
15581806,2,19
15585669,1,19
15585669,2,19
15585883,1,20
15585883,2,19
16585839,1,19
16585839,3,19
16824666,1,19
16824666,2,19
16824697,1,19
16824710,1,1
16824710,2,1
16824712,1,1
16824789,1,20
16824789,2,1
16824793,1,19
16824840,1,20
16824841,1,1
16824841,1,21
16824843,1,19
16824844,1,1
16824851,1,1
16824851,1,59
16824878,1,1
16824889,1,19
16824907,1,19
16824907,2,19
16824916,1,20
16824916,2,1
16824921,1,19
16824921,2,19
16824984,1,99
16824986,1,19
16824989,1,99
16824990,1,99
16825020,1,19
16825021,1,19
16825032,1,20
16825032,2,19
16825045,1,99
16825078,1,98
16825082,1,19
16825129,1,99
16825129,2,20
16825132,1,1
16825133,1,19
16825133,2,1
16825158,1,20
16825177,1,19
16825179,1,20
16825215,1,1
16825215,2,98
16825233,1,19
16825233,2,99
16825235,1,1
16825235,2,1
16825236,1,1
16825256,1,19
16825256,2,19
16825279,1,20
16825285,1,19
16825285,2,1
16825293,1,19
16825296,1,99
16825296,2,19
16825298,1,99
16825301,1,19
16825301,2,20
16825323,1,19
16825323,2,19
16825333,1,1
16825333,2,1
16825347,1,99
16825347,2,1
16825348,1,20
16825380,1,19
16825380,2,98
16825382,1,98
16825382,2,21
16825395,1,19
16825395,2,99
16825402,1,1
16825402,2,19
16825413,1,99
16825413,2,19
16825414,1,20
16825414,2,23
16825417,1,19
16825417,2,20
16825419,1,19
16825419,2,19
16825438,1,99
16825438,2,19
16825442,1,20
16825442,2,19
16825459,1,20
16825459,2,19
16825462,1,1
16825462,1,49
16825462,1,66
16825462,1,67
16825462,2,19
16825464,1,20
16825464,2,19
16825465,1,19
16825466,1,19
16825468,1,19
16825469,1,19
16825469,2,19
16825472,1,19
16825472,2,1
16825473,1,99
16825473,2,19
16825501,1,20
16825503,1,99
16825503,2,19
16825507,1,99
16825507,2,19
16825509,1,99
16825515,1,19
16825518,1,99
16825520,1,20
16825523,1,99
16825523,2,98
16825524,1,19
16825531,1,19
16825531,2,20
16825540,1,19
16825545,1,99
16825547,1,19
16825547,2,99
16825553,1,98
16825553,2,19
16825557,1,21
16825568,1,99
16825568,2,1
16825570,1,1
16825570,2,1
16825583,1,20
16825586,1,99
16825587,1,19
16825596,1,99
16825597,1,20
16825601,1,19
16825603,1,19
16825604,1,99
16825604,2,19
16825605,1,19
16825605,2,19
16825606,1,19
16825616,1,99
16825722,1,19
16825722,2,1
16825723,1,99
16825727,1,1
16825729,1,1
16825729,2,19
16825734,1,21
16825735,1,19
16825737,1,19
16825737,2,1
16825737,3,1
16825738,1,98
16825738,3,19
16825738,4,1
16825738,5,1
16825738,6,59
16825739,1,19
16825740,1,99
16825741,1,1
16825741,1,23
16825741,2,19
16825741,3,20
16825746,1,19
16825746,2,20
16825747,1,1
16825747,2,19
16825748,1,20
16825750,1,19
16825750,2,20
16825751,1,19
16825752,1,19
16825752,2,99
16825759,1,1
16825759,2,99
16825760,1,19
16825760,2,19
16825761,1,19
16825761,2,19
16825762,1,19
16825762,2,98
16825764,1,19
16825770,1,19
16825770,2,98
16825772,1,99
16825773,1,99
16825774,1,1
16825775,1,99
16825776,1,99
16825779,1,19
16825780,1,19
16825787,1,19
16825787,2,19
16825791,1,1
16825791,2,19
16825791,3,19
16825793,1,20
16825796,1,1
16825796,2,19
16825799,1,99
16825800,1,20
16825808,1,20
16825808,2,19
16825810,1,20
16825810,2,19
16825811,1,19
16825811,2,19
16825816,1,19
16825818,1,19
16825824,1,1
16825824,2,19
16825831,1,19
16825831,2,99
16825837,1,19
16825837,2,19
16825839,1,98
16825839,2,1
16825846,1,1
16825846,2,19
16825847,1,99
16825850,1,99
16825858,1,19
16825858,2,20
16825876,1,99
16825877,1,20
16825887,1,19
16825890,1,19
16825890,2,19
16825891,1,19
16825900,1,1
16825900,2,19
16825907,1,19
16825907,2,19
16825910,1,99
16825910,2,1
16825924,1,99
16825924,2,19
16825947,1,1
16825947,2,19
16825953,1,99
16825953,2,19
16825963,1,19
16825963,2,19
16825967,1,19
16825967,2,20
16825973,1,19
16825973,2,20
16825992,1,99
16825992,2,1
16825992,2,59
16825994,1,99
16825996,1,99
16825996,2,19
16826004,1,19
16826004,2,19
16826005,1,1
16826005,2,19
16826017,1,99
16826017,2,98
16826025,1,98
16826026,1,1
16826026,2,20
16826039,1,99
16826043,1,1
16826060,1,1
16826060,2,1
16826060,2,21
16826065,1,19
16826065,2,19
16826065,3,19
16826066,1,19
16826066,2,19
16826077,1,99
16826083,1,1
16826118,1,19
16826215,1,1
16826215,2,19
16826219,1,99
16826220,1,99
16826222,1,99
16826246,1,19
16826246,2,1
16826247,1,20
16826247,2,1
16826288,1,19
16826288,2,1
16826289,1,19
16826291,1,98
16826291,2,21
16826294,1,99
16826295,1,19
16826295,2,19
16826297,1,99
16826344,1,19
16826344,2,19
16826391,1,99
16826391,2,19
16826396,1,19
16826407,1,19
16826430,1,99
16826430,2,20
16826430,3,19
16826452,1,1
16826453,1,20
16826465,1,19
16826465,2,19
16826488,1,1
16826488,1,21
16826488,2,19
16826504,1,99
16826504,2,23
16826505,1,20
16826524,1,19
16826527,1,19
16826527,2,19
16826530,1,1
16826530,2,1
16826545,1,99
16826545,2,1
16826546,1,20
16826546,2,19
16826546,3,20
16826556,1,99
16826568,1,19
16826571,1,1
16826571,2,1
16826572,1,99
16826572,2,1
16826573,1,19
16826574,1,20
16826580,1,19
16826581,1,20
16826581,2,19
16826582,1,98
16826584,1,99
16826584,2,1
16826600,1,19
16826609,1,1
16826612,1,1
16826615,1,19
16826631,1,1
16826641,1,1
16826648,1,20
16826649,1,19
16826649,3,1
16826657,1,1
16826657,2,1
16826657,3,19
16826661,1,98
16826681,1,19
16826681,2,19
16826682,1,14
16826688,1,19
16826688,2,19
16826691,1,19
16826691,2,1
16826702,1,99
16826710,1,1
16826715,1,99
16826716,1,1
16826716,2,1
16826717,1,19
16826730,1,19
16826731,1,19
16826735,1,23
16826735,2,1
16826737,1,1
16826739,1,1
16826739,3,1
16826740,1,19
16826740,2,20
16826743,1,19
16826743,2,19
16826759,1,1
16826759,2,20
16826767,1,99
16826768,1,20
16826768,2,19
16826768,3,19
16826769,1,20
16826769,2,19
16826770,1,99
16826784,1,99
16826784,3,19
16826789,1,19
16826792,1,1
16826805,1,19
16826805,2,1
16826814,1,19
16826814,2,1
16826822,1,1
16826822,1,59
16826823,1,19
16826823,2,1
16826826,1,1
16826826,2,29
16826826,3,19
16826834,1,1
16826834,2,98
16826848,1,1
16826858,1,19
16826867,1,19
16826867,2,19
16826872,1,19
16826873,1,19
16826873,2,19
16826889,1,20
16826901,1,99
16826901,2,99
16826919,1,98
16826919,2,19
16826930,1,19
16826930,2,1
16826930,3,1
16826931,1,19
16826931,2,19
16826933,1,99
16826933,2,19
16826934,1,19
16826934,2,19
16826935,1,19
16826939,1,99
16826939,2,98
16826940,1,99
16826941,1,19
16826941,2,25
16826941,2,59
16826968,1,19
16826983,1,99
16826983,2,99
16826984,1,19
16826985,1,99
16826985,2,19
16826986,1,98
16826986,2,19
16826987,1,1
16826987,1,21
16826987,1,22
16826987,2,1
16826987,3,19
16826988,1,19
16826989,1,20
16826992,1,19
16826992,2,20
16826994,1,19
16826995,1,20
16826995,2,19
16826997,1,20
16826997,2,19
16827000,1,19
16827002,1,20
16827003,1,99
16827008,1,1
16827009,1,19
16827010,1,99
16827010,2,19
16827012,1,1
16827012,2,20
16827013,1,1
16827018,1,19
16827018,2,19
16827019,1,19
16827019,2,1
16827020,1,99
