Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
15581806,1,96
15581806,2,96
15585669,1,96
15585669,2,96
15585883,1,8
15585883,2,96
16585839,1,3
16585839,3,96
16824666,1,96
16824666,2,96
16824697,1,96
16824710,1,96
16824710,2,96
16824712,1,96
16824789,1,8
16824789,2,96
16824793,1,96
16824840,1,8
16824841,1,96
16824843,1,96
16824844,1,96
16824851,1,7
16824878,1,2
16824878,1,3
16824889,1,96
16824907,1,96
16824907,2,96
16824916,1,8
16824916,2,96
16824921,1,96
16824921,2,96
16824984,1,99
16824986,1,96
16824989,1,99
16824990,1,99
16825020,1,96
16825021,1,96
16825032,1,8
16825032,2,96
16825045,1,99
16825078,1,96
16825082,1,96
16825129,1,99
16825129,2,8
16825132,1,96
16825133,1,96
16825133,2,96
16825158,1,8
16825177,1,96
16825179,1,8
16825215,1,96
16825215,2,96
16825233,1,96
16825233,2,99
16825235,1,96
16825235,2,96
16825236,1,96
16825256,1,96
16825256,2,96
16825279,1,8
16825285,1,96
16825285,2,96
16825293,1,96
16825296,1,99
16825296,2,96
16825298,1,99
16825301,1,96
16825301,2,8
16825323,1,2
16825323,1,5
16825323,2,96
16825333,1,96
16825333,2,96
16825347,1,99
16825347,2,96
16825348,1,8
16825380,1,96
16825380,2,96
16825382,1,98
16825382,2,96
16825395,1,96
16825395,2,99
16825402,1,96
16825402,2,96
16825413,1,99
16825413,2,96
16825414,1,8
16825414,2,96
16825417,1,96
16825417,2,8
16825419,1,96
16825419,2,96
16825438,1,99
16825438,2,96
16825442,1,8
16825442,2,96
16825459,1,8
16825459,2,96
16825462,1,2
16825462,2,96
16825464,1,8
16825464,2,96
16825465,1,96
16825466,1,96
16825468,1,96
16825469,1,96
16825469,2,96
16825472,1,96
16825472,2,96
16825473,1,99
16825473,2,96
16825501,1,8
16825503,1,99
16825503,2,96
16825507,1,99
16825507,2,96
16825509,1,99
16825515,1,96
16825518,1,99
16825520,1,8
16825523,1,99
16825523,2,96
16825524,1,96
16825531,1,96
16825531,2,8
16825540,1,96
16825545,1,99
16825547,1,96
16825547,2,99
16825553,1,98
16825553,2,96
16825557,1,96
16825568,1,99
16825568,2,96
16825570,1,96
16825570,2,96
16825583,1,8
16825586,1,99
16825587,1,96
16825596,1,99
16825597,1,8
16825601,1,96
16825603,1,96
16825604,1,99
16825604,2,96
16825605,1,96
16825605,2,96
16825606,1,96
16825616,1,99
16825722,1,96
16825722,2,96
16825723,1,99
16825727,1,96
16825729,1,96
16825729,2,96
16825734,1,96
16825735,1,96
16825737,1,96
16825737,2,96
16825737,3,96
16825738,1,96
16825738,3,96
16825738,4,96
16825738,5,96
16825738,6,3
16825738,6,4
16825739,1,96
16825740,1,99
16825741,1,96
16825741,2,96
16825741,3,8
16825746,1,96
16825746,2,8
16825747,1,96
