Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17237504,1,19
17237504,2,98
17237506,1,19
17237506,2,19
17237506,3,19
17237508,1,19
17237508,2,19
17237508,3,19
17237511,1,20
17237511,2,1
17237513,1,99
17237517,1,1
17237517,2,19
17237522,1,9
17237523,1,99
17237523,2,19
17237524,1,19
17237524,2,1
17237524,2,23
17237527,1,20
17237527,2,19
17237530,1,20
17237530,2,19
17237531,1,19
17237531,2,19
17237531,3,19
17237535,1,99
17237536,1,99
17237536,2,1
17237543,1,19
17237543,2,19
17237543,3,19
17237543,4,1
17237547,1,19
17237547,2,99
17237547,3,19
17237552,1,19
17237553,1,19
17237553,2,98
17237555,1,19
17237555,2,19
17237558,1,1
17237558,2,19
17237558,3,20
17237559,1,19
17237566,1,99
17237566,2,19
17237566,3,19
17237566,4,49
17237567,1,99
17237567,2,19
17237567,3,19
17237568,1,19
17237568,2,19
17237568,3,19
17237570,1,1
17237570,3,19
17237573,1,19
17237573,3,19
17237574,1,19
17237574,2,1
17237575,1,19
17237575,2,98
17237577,1,99
17237577,2,19
17237578,1,19
17237578,2,20
17237578,3,19
17237579,1,19
17237579,2,19
17237583,1,19
17237583,2,1
17237584,1,19
17237584,2,19
17237584,3,19
17237587,1,1
17237587,2,19
17237597,1,19
17237597,2,20
17237601,1,19
17237601,2,19
17237607,1,99
17237609,1,1
17237609,2,19
17237611,1,99
17237611,2,19
17237614,1,19
17237614,2,19
17237634,1,19
17237634,2,19
17237643,1,98
17237643,2,19
17237644,1,98
17237658,1,1
17237658,2,19
17237660,1,20
17237660,2,19
17237665,1,19
17237671,1,99
17237677,1,19
17237677,2,19
17237693,1,19
17237693,2,98
17237693,3,19
17237695,1,19
17237695,2,1
17237697,1,20
17237697,2,19
17237700,1,19
17237700,2,19
17237701,1,99
17237701,2,19
17237702,1,19
17237702,2,20
17237704,1,98
17237704,2,98
17237704,3,19
17237705,1,99
17237707,1,19
17237707,2,19
17237708,1,19
17237709,1,19
17237709,2,19
17237712,1,19
17237712,2,19
17237714,1,19
17237714,2,19
17237728,1,99
17237731,1,19
17237731,2,19
17237736,1,19
17237736,2,19
17237737,1,19
17237737,2,99
17237739,1,20
17237739,2,20
17237744,1,20
17237744,2,20
17237746,1,99
17237746,2,19
17237751,1,19
17237751,2,19
17237752,1,19
17237752,2,1
17237753,1,99
17237754,1,99
17237755,1,1
17237756,1,20
17237756,2,19
17237759,1,99
17237759,2,19
17237760,1,1
17237760,2,1
17237760,2,29
17237761,1,23
17237761,2,19
17237762,1,19
17237762,2,19
17237764,1,1
17237764,2,19
17237765,1,99
17237765,2,19
17237766,1,20
17237766,2,19
17237767,1,1
17237767,1,66
17237767,1,67
17237767,2,19
17237768,1,19
17237768,2,19
17237770,1,99
17237770,2,19
17237770,3,19
17237771,1,99
17237772,1,1
17237772,2,19
17237775,1,19
17237775,2,1
17237781,1,1
17237781,2,1
17237788,1,59
17237788,1,70
17237788,2,19
17237791,1,19
17237791,2,20
17237796,1,99
17237796,2,19
17237807,1,19
17237807,2,20
17237810,1,19
17237810,2,98
17237811,1,59
17237816,1,19
17237818,1,19
17237821,1,98
17237821,2,19
17237822,1,98
17237822,2,19
17237824,1,1
17237824,2,19
17237825,1,19
17237825,2,19
17237827,1,20
17237827,2,19
17237828,1,20
17237828,2,20
17237832,1,99
17237832,2,19
17237840,1,19
17237841,1,19
17237844,1,98
17237844,2,1
17237850,1,19
17237850,2,19
17237851,1,1
17237851,2,1
17237852,1,1
17237852,2,19
17237856,1,19
17237856,2,19
17237858,1,20
17237858,2,19
17237859,1,1
17237859,2,19
17237859,3,19
