Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
17236207,1,2,2,3,2,24,3,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
17236245,2,2,2,3,5,15,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236308,2,1,2,1,5,39,2,1,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17236488,1,2,2,3,5,29,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236488,2,2,2,3,5,27,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236491,1,2,2,3,5,57,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236517,1,2,2,3,5,14,1,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
17236539,2,2,2,3,3,38,3,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
17236691,1,2,2,3,5,17,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236694,2,2,2,3,5,70,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236709,1,2,2,3,5,15,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236710,1,2,2,4,5,5,3,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17236710,1,3,2,6,5,6,3,1,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17236710,1,4,2,7,5,2,3,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17236710,2,2,2,3,5,18,4,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236715,2,2,2,3,5,14,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236715,2,3,2,4,5,12,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236715,2,4,2,6,5,2,2,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17236716,1,2,2,3,5,14,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236732,2,2,2,3,5,46,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236735,2,2,2,3,0,50,4,2,1,1,2,97,N,,,,,,,0,0,0,0,1,0,0
17236742,2,2,2,3,5,21,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236742,2,3,2,6,5,12,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236752,1,2,2,3,5,16,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236769,1,2,2,3,5,29,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236769,1,3,2,6,5,5,3,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17236820,2,2,2,3,5,37,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236828,2,2,2,3,5,22,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236830,2,2,2,3,5,57,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236837,1,2,2,1,5,97,1,2,1,2,2,97,N,,,,,,,0,0,0,1,0,0,0
17236840,2,2,2,3,5,37,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236845,1,2,2,3,5,31,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236845,3,2,2,3,5,57,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236870,1,2,2,3,5,30,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236870,1,3,2,4,5,39,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236870,1,4,2,5,5,0,1,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
17236879,2,2,2,3,5,40,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236879,2,3,2,6,5,12,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236879,2,4,2,4,5,15,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236881,2,2,2,6,5,5,3,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17236890,1,2,2,3,5,32,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236890,2,2,2,3,5,17,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236903,1,2,2,4,5,5,1,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17236903,2,2,2,3,5,39,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236907,2,2,2,3,5,24,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236907,2,3,2,6,5,2,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17236908,2,2,2,3,5,33,2,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
17236934,2,2,2,3,5,27,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236941,3,2,2,3,5,37,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236942,2,2,2,3,5,18,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236945,1,2,2,3,0,0,0,2,1,10,0,97,N,,,,,,,0,0,0,0,1,0,0
17236970,2,2,2,3,5,57,0,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236970,2,3,2,6,5,29,0,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17236970,2,4,2,4,5,8,0,1,1,7,2,97,N,,,,,,,0,0,0,1,0,0,0
17236980,1,2,2,3,3,41,3,1,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
17236983,1,2,2,6,5,1,2,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
17236983,2,2,2,3,5,28,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17237007,2,2,2,3,5,27,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17237007,2,3,2,6,5,25,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17237007,2,4,2,4,5,26,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17237015,1,2,2,3,5,28,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17237023,1,2,2,2,3,16,2,2,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
17237023,1,3,2,3,3,16,2,2,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
17237023,1,4,2,4,3,16,2,1,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
