Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17124487,1,19
17124487,2,19
17135224,1,19
17135247,1,19
17135267,1,19
17135282,1,98
17135282,3,16
17135378,1,1
17135378,2,1
17135398,1,19
17135435,1,20
17135435,2,1
17135446,1,98
17135453,1,20
17135453,2,19
17135454,1,19
17135454,2,19
17135455,1,19
17135467,1,20
17135492,1,20
17135492,2,99
17135500,1,19
17135500,2,19
17135510,1,20
17135639,1,1
17135639,2,1
17135756,1,20
17135756,2,1
17135818,1,20
17135818,2,19
17135830,1,99
17135834,1,19
17135932,1,19
17135962,1,79
17136030,1,1
17136030,2,1
17136031,1,19
17136031,2,1
17136033,1,98
17136034,1,49
17136034,1,52
17136076,1,19
17136076,3,19
17136105,1,19
17136105,2,98
17136110,1,1
17136110,2,1
17136128,1,19
17136128,2,19
17136136,1,19
17136136,2,19
17136136,3,19
17136148,1,1
17136166,1,1
17136166,2,20
17136174,1,1
17136174,3,1
17136182,1,19
17136182,2,19
17136182,3,19
17136194,1,99
17136253,1,19
17136253,2,1
17136279,1,99
17136279,2,19
17136281,1,99
17136281,2,19
17136291,1,20
17136291,2,1
17136293,1,19
17136293,2,19
17136298,1,21
17136298,2,20
17136300,1,1
17136300,2,19
17136301,1,19
17136301,2,19
17136307,1,1
17136397,1,20
17136397,2,1
17136399,1,1
17136399,2,1
17136417,1,99
17136440,1,19
17136440,2,19
17136441,1,1
17136461,1,74
17136461,3,19
17136474,1,19
17136474,2,19
17136474,3,19
17136480,1,1
17136480,1,23
17136482,1,1
17136482,3,1
17136494,1,19
17136494,2,19
17136500,2,19
17136514,1,99
17136539,1,19
17136539,2,19
17136545,1,19
17136545,2,20
17136546,1,19
17136546,2,1
17136548,1,19
17136548,2,19
17136552,1,1
17136552,2,19
17136554,1,98
17136554,2,99
17136558,1,1
17136558,2,19
17136558,3,1
17136571,1,99
17136572,1,19
17136572,2,19
17136574,1,19
17136574,2,19
17136574,3,19
17136574,4,19
17136579,1,19
17136579,2,19
17136579,3,19
17136580,1,19
17136580,2,1
17136582,1,19
17136582,2,19
17136583,1,99
17136589,1,1
17136589,2,19
17136596,1,19
17136599,1,19
17136599,2,19
17136603,1,20
17136603,2,19
17136606,1,98
17136606,2,1
17136607,1,98
17136607,3,99
17136608,1,1
17136608,2,1
17136614,1,19
17136624,1,19
17136624,2,19
17136636,1,19
17136636,2,19
17136643,1,99
17136643,2,19
17136646,1,1
17136648,1,1
17136662,1,99
17136662,2,19
17136674,1,19
17136674,2,19
17136686,1,1
17136697,1,19
17136715,1,19
17136715,2,19
17136737,1,1
17136737,1,21
17136749,1,19
17136749,2,1
17136752,1,1
17136752,1,23
17136752,2,19
17136758,1,19
17136758,2,19
17136761,1,20
17136761,2,19
17136762,1,19
17136762,2,1
17136764,1,99
17136764,2,19
17136765,1,23
17136765,2,19
17136778,1,19
17136778,2,98
17136787,1,19
17136787,2,19
17136789,1,20
17136789,2,1
17136790,1,99
17136793,1,1
17136793,2,1
17136797,1,1
17136797,2,1
17136798,1,98
17136798,2,20
17136819,1,99
17136819,2,1
17136823,1,20
17136823,2,19
17136825,1,98
17136825,3,19
17136833,1,19
17136833,2,19
17136855,1,19
17136861,1,20
17136868,1,1
17136870,1,19
17136885,1,1
17136885,2,19
17136889,1,99
17136896,1,20
17136896,2,1
17136900,1,98
17136901,1,1
17136901,2,1
17136911,1,98
17136911,2,20
17136912,1,1
17136912,2,19
17136922,1,99
17136922,3,19
17136924,1,20
17136935,1,1
17136935,2,19
17136943,1,99
17136944,1,1
17136944,2,19
17136945,1,1
17136945,2,1
17136946,1,19
17136946,2,1
17136947,1,19
17136947,2,19
17136948,1,19
17136948,2,19
17136949,1,19
17136949,2,19
17136951,1,99
17136951,2,98
17136951,3,19
17136952,1,19
17136952,2,1
17136952,3,19
17136953,1,1
17136953,1,23
17136955,1,99
17136955,2,19
17136956,1,19
17136956,2,19
17136957,1,19
17136957,2,19
17136958,1,1
17136958,2,19
17136958,3,1
17136959,1,1
17136959,2,1
17136974,1,19
17136974,2,1
17136984,1,19
17136985,1,19
17136985,2,19
17136986,1,1
17136986,2,19
17136987,1,19
17136987,2,1
17136988,1,19
17136988,2,19
17136989,1,19
17136989,2,19
17136990,1,1
17136990,2,19
17136993,1,19
17136993,2,19
17136993,3,19
17136993,4,19
17136996,1,1
17136996,2,19
17136996,3,79
17137010,1,19
17137010,2,19
17137032,1,19
17137032,2,19
17137039,1,19
17137039,2,1
17137042,1,19
17137042,3,1
17137044,1,1
17137044,2,19
17137067,1,99
17137067,2,20
17137067,3,19
17137073,1,19
17137073,2,19
17137078,1,19
17137087,1,19
17137087,2,1
17137095,1,98
17137099,1,99
17137099,2,19
17137102,1,1
17137102,2,19
17137110,1,99
17137114,1,20
17137114,2,19
17137121,1,19
17137143,1,99
17137143,2,19
17137149,1,19
17137149,3,19
17137149,4,98
17137150,1,19
17137156,1,1
17137156,2,98
17137157,1,20
17137157,2,20
17137157,3,99
17137159,1,19
17137159,2,19
17137160,1,19
17137160,2,19
17137162,1,99
17137162,2,19
17137164,1,19
17137164,2,99
17137166,1,20
17137166,2,19
17137167,1,19
17137171,1,20
17137171,2,19
17137177,1,19
17137177,2,20
17137183,1,19
17137184,1,1
17137184,2,1
17137185,1,1
17137185,2,19
17137202,1,19
17137202,2,19
17137203,1,1
17137203,1,21
17137203,2,19
17137222,1,19
17137222,2,19
17137222,3,19
17137231,1,1
17137231,2,19
17137242,1,68
17137242,2,1
17137252,1,19
17137256,1,19
17137256,2,19
17137262,1,20
17137262,2,1
17137264,1,99
17137264,2,19
17137271,1,99
17137271,2,1
17137272,1,19
17137272,2,19
17137273,1,19
17137273,2,19
17137274,1,99
17137275,1,19
17137275,2,19
17137276,1,1
17137276,2,1
17137285,1,1
17137285,2,98
17137292,1,19
17137292,2,19
17137295,1,19
17137298,1,1
17137298,2,1
17137299,1,99
17137299,2,99
17137300,1,20
17137301,1,19
17137301,2,19
17137302,1,99
17137303,1,20
17137304,1,99
17137304,2,19
17137305,1,1
17137305,2,19
17137306,1,19
17137306,2,20
17137314,1,19
17137314,2,19
17137317,1,19
17137318,1,98
17137319,1,99
17137319,3,1
17137320,1,19
17137321,1,1
17137321,1,21
17137321,1,22
17137321,2,1
17137321,2,21
17137321,2,22
17137323,1,23
17137323,2,19
17137325,1,99
17137325,2,19
17137326,1,1
17137326,2,19
17137328,1,20
17137329,1,19
17137329,2,19
17137333,1,19
17137333,2,19
17137334,1,20
17137334,2,1
17137335,1,99
17137335,2,1
17137336,1,19
17137337,1,19
17137337,2,98
17137338,1,19
17137339,1,19
17137339,2,19
17137342,1,19
17137348,1,1
17137348,2,1
17137352,1,1
17137352,2,19
17137360,1,19
17137363,1,98
17137363,2,19
17137373,1,19
17137373,2,19
17137374,1,19
17137374,2,19
17137375,1,99
17137376,1,19
17137377,1,19
17137377,3,19
17137383,1,20
17137383,2,98
17137384,1,19
17137388,1,1
17137388,3,1
17137389,1,19
17137389,2,1
17137389,2,67
17137392,1,19
17137392,2,19
17137393,1,20
17137393,2,1
17137397,1,19
17137397,2,20
17137398,1,1
17137398,2,1
17137398,3,99
17137399,1,21
17137399,1,22
17137399,2,1
17137402,1,99
17137402,2,19
17137414,1,19
17137414,2,19
17137415,1,19
17137415,2,19
17137416,1,19
17137416,2,20
17137423,1,1
17137424,1,19
17137424,2,19
17137425,1,99
17137427,1,19
17137427,2,19
17137428,1,19
17137428,2,19
17137431,1,19
17137431,2,19
17137432,1,99
17137433,1,20
17137433,2,19
17137438,1,19
17137438,2,19
17137439,1,19
17137439,2,1
17137441,1,19
17137441,2,19
17137445,1,19
17137445,2,19
17137447,1,19
17137447,2,19
17137452,1,20
17137452,2,19
17137456,1,99
17137461,1,19
17137461,2,19
17137463,1,20
17137463,2,19
17137463,3,19
17137482,1,19
17137482,2,19
17137490,1,19
17137490,2,19
17137492,1,1
17137513,1,19
17137513,2,19
17137514,1,19
17137514,2,20
17137516,1,1
