Crash_ID,Damaged_Property
17135247,GATE
17135267,BARK SCRAPED OFF TREE
17135282,"2008 DODGE, VIN 1D7HA18K48J111710"
17135398,CONCRETE CENTER MEDIAN WALL
17135510,WHITE GROUND MARKER PYLON
17135817,POLE/ WIRE DAMAGE 6000 BLK E SIDE ROAD
17135834,ROAD SIGN
17135932,ONCOR LIGHT POLE
17135962,BRICK MAILBOX
17136033,WOODEN CANOPY
17136034,CONCRETE BARRIER
17136148,BARRICADE TRAILER
17136417,"STREET LIGHT POLE, 2 LIGHT FIXTURES"
17136461,RAKE
17136583,CYCLONE FENCE AND GATE
17136596,GUARD RAIL
17136603,POSTED SIGN
17136614,8 FEET OF WOOD FENCE
17136686,FIRE HYDRANT
17136697,YIELD SIGN
17136737,"HOUSE DAMAGE, LANDSCAPPING, BRICK SIGN"
17136737,STREET SIGN
17136825,FENCE
17136868,GUARD RAIL
17136870,CONCRETE
17136943,FENCING AND LAWN
17137167,DAMAGED CURB/ROADWAY
17137183,GOUGE IN CURB CEMENT
17137302,METAL FENCE
17137318,ROAD WAY SIGN
17137320,(1) WOODEN ELECTRIC POWER POLE
17137326,20 FEET OF GUARDRAIL ON MM 524 EASTBOUND
17137342,MEDIAN CABLES
17137360,TREE DAMAGE.
17137384,2FT TALL PIPE FENCE RAILING
17137393,TRAFFIC LIGHT POLE
17137416,LIGHT SIGNAL POLE
17137423,GUARD RAIL
17137588,FENCE
17137588,TRAILER
17137605,DOG
17137674,LPL STREET LIGHT
17137674,TX DOT SIGN
17137689,STOP SIGN
17137696,MAILBOX
17137725,BROKEN BRICK ON RESIDENCE
17137725,CRUSHED BENCH
17137862,LIGHT POLE
17137944,BARRIER CABLE
17137946,MINOR SCRAPE TO DRAINAGE DITCH
17137950,MAIL BOX
17137955,STOP SIGN CR 488
17137957,DESTROYED BRICK MAILBOX
17138072,MAILBOX
17138267,GAS LINE AND BLACK METAL FENCE
17138282,LIGHT POLE
17138298,LIGHT POLE
17138316,CONCRETE SAFETY POST FOR GAS PUMPS
17138376,WINDOW
17138379,TELEPHONE POLE
17138456,STOP SIGN
17138496,FENCE
17138524,FENCE DAMAGE AND HOUSE SIDING DAMAGE
17138542,HANDICAP PARKING SIGN/POLE
17138557,LIGHT POLE
17138573,1 LIGHT POLE/ 5 DELINEATORS/ ROADWAY
17138573,CEE PURLING
17138589,COMMERCIAL BUILDING (904 N BECKHAM)
17138685,TWO TELEPHONE POLES AND WIRES
17138767,WOODEN POLE
17138895,LARGE METAL PLASTIC CONTAINER
17138909,CHAIN LINK FENCE AND OIL DRUM SMASHED
17138917,MINOR DAMAGE TO CENTER BARRIER
17138923,DAMAGE TO CENTER BARRIER
17138966,5 FEET OF BRICKS/WALL
17139095,30 FEET OF GUARD RAILING
17139097,POWER POLE
17139141,BENT FENCE POST
17139159,POWER LINE POLE
17139217,LIGHT POLE
17139257,HOUSE
17139257,FENCING
17139306,YIELD SIGN
17139323,DAMAGE TO THE GUARD RALL.
17139323,DAMAGE TO THE FANCE
17139324,TXDOT YIELD SIGN SB BOAT CLUB TO WB AZLE
17139331,DAMAGE TO CURB AND PV DR STOP SIGN
17139344,GUARDRAIL
17139344,CONCRETE DAMAGE TO BRIDGE
17139344,STREET SIGN
17139353,CONCRETE FELL OFF
17139380,ARROW SIGN
17139382,WHITE BRICK MAILBOX
17139385,PUBLIC WORK LIGHT POLE(205758)
17139404,STREET LIGHT POLE WITH CROSSING LIGHT
17139411,DAMAGED SIGNAL LIGHT POLE
17139425,TREE
17139435,ONE WAY SIGN DAMAGED
17139451,"SIGN "" WRONG WAY"""
17139467,BUILDING
17139473,TREE
17139496,STEER (LIVESTOCK)
17139511,GUARD RAIL DAMAGE
17139534,TREE
17139546,DAMAGE TO GUARD RAIL/MEDIAN
17139826,CANTENARY POLE
17139830,GUARD RAIL
17139868,GUARD RAIL
17139874,CHAIN LINK FENCE
17139941,STOP SIGN
17139944,LEFT GUARD RAIL
17139979,CHAIN LINK FENCE
17139979,LANDSCAPE/SHUBBERY
17139979,SOLAR PANELS
17139988,CENTER GUARD WIRE DAMAGE
17140058,ONE EXIT SIGN
17140058,CRASH CUSHION
17140074,CONCRETE BRIDGE JOINTS
17140089,BARRIER
17140211,GUARDRAIL
17140242,TRAFFIC SIGNAL POLE
17140252,AUSTIN ENERGY POLE #337929
17140289,GUARD RAIL
17140316,PEDESTRIAN CONTROL DEVICE
17140328,MAYBE 1 CEDAR POST WAS BROKEN
17140333,BLACK METAL MAILBOX
17140354,TREE
17140368,CREPE MYRTLE TREE/LAWN
17140376,GUARD RAIL ON FRONTAGE ROAD
17140402,BROKEN FENCE POST
17140402,TWO BROKEN HIGHWAY CONSTRUCTION SIGNS
17140413,WALL DAMAGE
17140424,PROPERTY FENCE
