Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17124487,1,96
17124487,2,96
17135224,1,96
17135247,1,96
17135267,1,96
17135282,1,96
17135282,3,96
17135378,1,96
17135378,2,96
17135398,1,96
17135435,1,8
17135435,2,96
17135446,1,96
17135453,1,8
17135453,2,96
17135454,1,96
17135454,2,96
17135455,1,96
17135467,1,8
17135492,1,8
17135492,2,99
17135500,1,96
17135500,2,96
17135510,1,8
17135639,1,96
17135639,2,96
17135756,1,8
17135756,2,96
17135818,1,8
17135818,2,96
17135830,1,99
17135834,1,96
17135932,1,3
17135962,1,96
17136030,1,96
17136030,2,96
17136031,1,96
17136031,2,96
17136033,1,98
17136034,1,2
17136076,1,96
17136076,3,96
17136105,1,96
17136105,2,96
17136110,1,96
17136110,2,96
17136128,1,96
17136128,2,96
17136136,1,96
17136136,2,96
17136136,3,96
17136148,1,96
17136166,1,96
17136166,2,8
17136174,1,96
17136174,3,96
17136182,1,96
17136182,2,96
17136182,3,96
17136194,1,99
17136253,1,96
17136253,2,96
17136279,1,99
17136279,2,96
17136281,1,99
17136281,2,96
17136291,1,8
17136291,2,96
17136293,1,96
17136293,2,96
17136298,1,96
17136298,2,8
17136300,1,96
17136300,2,96
17136301,1,96
17136301,2,96
17136307,1,96
17136397,1,8
17136397,2,96
17136399,1,96
17136399,2,96
17136417,1,99
17136440,1,96
17136440,2,96
17136441,1,96
17136461,1,96
17136461,3,96
17136474,1,96
17136474,2,96
17136474,3,96
17136480,1,96
17136482,1,3
17136482,3,96
17136494,1,96
17136494,2,96
17136500,2,96
17136514,1,99
17136539,1,96
17136539,2,96
17136545,1,96
17136545,2,8
17136546,1,96
17136546,2,96
17136548,1,96
17136548,2,96
17136552,1,96
17136552,2,96
17136554,1,96
17136554,2,99
17136558,1,96
17136558,2,96
17136558,3,96
17136571,1,99
17136572,1,96
17136572,2,96
17136574,1,96
17136574,2,96
17136574,3,96
17136574,4,96
17136579,1,96
17136579,2,96
17136579,3,96
17136580,1,96
17136580,2,96
17136582,1,96
17136582,2,96
17136583,1,99
17136589,1,96
17136589,2,96
17136596,1,96
17136599,1,96
17136599,2,96
17136603,1,8
17136603,2,96
17136606,1,98
17136606,2,96
17136607,1,98
17136607,3,99
17136608,1,96
17136608,2,96
17136614,1,96
17136624,1,96
17136624,2,96
17136636,1,96
17136636,2,96
17136643,1,99
17136643,2,96
17136646,1,96
17136648,1,96
17136662,1,99
17136662,2,96
17136674,1,96
17136674,2,96
17136686,1,96
17136697,1,96
17136715,1,96
17136715,2,96
17136737,1,96
17136749,1,96
17136749,2,96
17136752,1,96
17136752,2,96
17136758,1,96
17136758,2,96
17136761,1,8
17136761,2,96
17136762,1,96
17136762,2,96
17136764,1,99
17136764,2,96
17136765,1,96
17136765,2,96
17136778,1,96
17136778,2,96
17136787,1,96
17136787,2,96
17136789,1,8
17136789,2,96
17136790,1,99
17136793,1,96
17136793,2,96
17136797,1,96
17136797,2,96
17136798,1,96
17136798,2,8
17136819,1,99
17136819,2,96
17136823,1,8
17136823,2,96
17136825,1,96
17136825,3,96
17136833,1,96
17136833,2,96
17136855,1,96
17136861,1,8
17136868,1,2
17136868,1,3
17136870,1,96
17136885,1,96
17136885,2,96
17136889,1,99
17136896,1,8
17136896,2,96
17136900,1,96
17136901,1,96
17136901,2,96
17136911,1,98
17136911,2,8
17136912,1,96
17136912,2,96
17136922,1,99
17136922,3,96
17136924,1,8
17136935,1,96
17136935,2,96
17136943,1,99
17136944,1,96
17136944,2,96
17136945,1,96
17136945,2,96
17136946,1,96
17136946,2,96
17136947,1,96
17136947,2,96
17136948,1,96
17136948,2,3
17136949,1,96
17136949,2,96
17136951,1,99
17136951,2,98
17136951,3,96
17136952,1,96
17136952,2,96
17136952,3,96
17136953,1,96
17136955,1,99
17136955,2,96
17136956,1,96
17136956,2,96
17136957,1,96
17136957,2,96
17136958,1,96
17136958,2,96
17136958,3,96
17136959,1,96
17136959,2,96
17136974,1,96
17136974,2,96
17136984,1,96
17136985,1,96
17136985,2,96
17136986,1,96
17136986,2,96
17136987,1,96
17136987,2,96
17136988,1,96
17136988,2,96
17136989,1,96
17136989,2,96
17136990,1,96
17136990,2,96
17136993,1,96
17136993,2,96
17136993,3,96
17136993,4,96
17136996,1,96
17136996,2,96
17136996,3,96
17137010,1,96
17137010,2,96
17137032,1,96
17137032,2,96
17137039,1,96
17137039,2,96
17137042,1,3
17137042,1,6
17137042,3,96
17137044,1,96
17137044,2,96
17137067,1,99
17137067,2,8
17137067,3,96
17137073,1,96
17137073,2,96
17137078,1,96
17137087,1,96
17137087,2,96
17137095,1,98
17137099,1,99
17137099,2,96
17137102,1,96
17137102,2,96
17137110,1,99
17137114,1,8
17137114,2,96
17137121,1,96
17137143,1,99
17137143,2,96
17137149,1,96
17137149,3,96
17137149,4,98
17137150,1,96
17137156,1,96
17137156,2,96
17137157,1,8
17137157,2,8
17137157,3,99
17137159,1,96
17137159,2,96
17137160,1,96
